Waste Stream,Country,Year,Scenario,Substance main parent,Stock/Flow ID,Value,Unit,Data Quality,Reference,Remark 1,Remark 2,Remark 3
SLASH,AUT,2010,OBS,19 01 11*,SLASH_bottomAshesWasteInc,458080.00000000006,t,2.0,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
SLASH,AUT,2011,OBS,19 01 11*,SLASH_bottomAshesWasteInc,469840.00000000006,t,2.0,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
SLASH,AUT,2012,OBS,19 01 11*,SLASH_bottomAshesWasteInc,474040.00000000006,t,2.0,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
SLASH,AUT,2013,OBS,19 01 11*,SLASH_bottomAshesWasteInc,480480.00000000006,t,2.0,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
SLASH,AUT,2014,OBS,19 01 11*,SLASH_bottomAshesWasteInc,491680.00000000006,t,2.0,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
SLASH,AUT,2015,OBS,19 01 11*,SLASH_bottomAshesWasteInc,513240.00000000006,t,2.0,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
SLASH,AUT,2016,OBS,19 01 11*,SLASH_bottomAshesWasteInc,519400.00000000006,t,2.0,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
SLASH,AUT,2017,OBS,19 01 11*,SLASH_bottomAshesWasteInc,544320.0,t,2.0,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
SLASH,AUT,2018,OBS,19 01 11*,SLASH_bottomAshesWasteInc,553560.0,t,2.0,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
SLASH,AUT,2019,OBS,19 01 11*,SLASH_bottomAshesWasteInc,561120.0,t,2.0,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
SLASH,AUT,2020,OBS,19 01 11*,SLASH_bottomAshesWasteInc,747320.0000000001,t,2.0,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
SLASH,AUT,2021,OBS,19 01 11*,SLASH_bottomAshesWasteInc,743120.0000000001,t,2.0,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
SLASH,AUT,2022,BAU,19 01 11*,SLASH_bottomAshesWasteInc,586154.5688916385,t,3.0,,Estimated from models - Check Reference,,Sowmya Ravisandiran
SLASH,AUT,2023,BAU,19 01 11*,SLASH_bottomAshesWasteInc,587235.5091357603,t,3.0,,Estimated from models - Check Reference,,Sowmya Ravisandiran
SLASH,AUT,2024,BAU,19 01 11*,SLASH_bottomAshesWasteInc,589711.0500639632,t,3.0,,Estimated from models - Check Reference,,Sowmya Ravisandiran
SLASH,AUT,2025,BAU,19 01 11*,SLASH_bottomAshesWasteInc,594248.7942045294,t,3.0,,Estimated from models - Check Reference,,Sowmya Ravisandiran
SLASH,AUT,2026,BAU,19 01 11*,SLASH_bottomAshesWasteInc,601040.1740904158,t,3.0,,Estimated from models - Check Reference,,Sowmya Ravisandiran
SLASH,AUT,2027,BAU,19 01 11*,SLASH_bottomAshesWasteInc,607577.3450127799,t,3.0,,Estimated from models - Check Reference,,Sowmya Ravisandiran
SLASH,AUT,2028,BAU,19 01 11*,SLASH_bottomAshesWasteInc,613354.3356670504,t,3.0,,Estimated from models - Check Reference,,Sowmya Ravisandiran
SLASH,AUT,2029,BAU,19 01 11*,SLASH_bottomAshesWasteInc,618588.9940505457,t,3.0,,Estimated from models - Check Reference,,Sowmya Ravisandiran
SLASH,AUT,2030,BAU,19 01 11*,SLASH_bottomAshesWasteInc,623562.4091314225,t,3.0,,Estimated from models - Check Reference,,Sowmya Ravisandiran
SLASH,AUT,2031,BAU,19 01 11*,SLASH_bottomAshesWasteInc,628452.4785850985,t,3.0,,Estimated from models - Check Reference,,Sowmya Ravisandiran
SLASH,AUT,2032,BAU,19 01 11*,SLASH_bottomAshesWasteInc,633376.3720662397,t,3.0,,Estimated from models - Check Reference,,Sowmya Ravisandiran
SLASH,AUT,2033,BAU,19 01 11*,SLASH_bottomAshesWasteInc,638395.0917802552,t,3.0,,Estimated from models - Check Reference,,Sowmya Ravisandiran
SLASH,AUT,2034,BAU,19 01 11*,SLASH_bottomAshesWasteInc,643645.3665735385,t,3.0,,Estimated from models - Check Reference,,Sowmya Ravisandiran
SLASH,AUT,2035,BAU,19 01 11*,SLASH_bottomAshesWasteInc,648952.5198132104,t,3.0,,Estimated from models - Check Reference,,Sowmya Ravisandiran
SLASH,AUT,2036,BAU,19 01 11*,SLASH_bottomAshesWasteInc,654311.363832143,t,4.0,,Estimated from models - Check Reference,,Sowmya Ravisandiran
SLASH,AUT,2037,BAU,19 01 11*,SLASH_bottomAshesWasteInc,659703.6521728686,t,4.0,,Estimated from models - Check Reference,,Sowmya Ravisandiran
SLASH,AUT,2038,BAU,19 01 11*,SLASH_bottomAshesWasteInc,665088.7568370351,t,4.0,,Estimated from models - Check Reference,,Sowmya Ravisandiran
SLASH,AUT,2039,BAU,19 01 11*,SLASH_bottomAshesWasteInc,670469.5388475908,t,4.0,,Estimated from models - Check Reference,,Sowmya Ravisandiran
SLASH,AUT,2040,BAU,19 01 11*,SLASH_bottomAshesWasteInc,675811.3096286826,t,4.0,,Estimated from models - Check Reference,,Sowmya Ravisandiran
SLASH,AUT,2041,BAU,19 01 11*,SLASH_bottomAshesWasteInc,681084.6043207895,t,4.0,,Estimated from models - Check Reference,,Sowmya Ravisandiran
SLASH,AUT,2042,BAU,19 01 11*,SLASH_bottomAshesWasteInc,686298.8352248323,t,4.0,,Estimated from models - Check Reference,,Sowmya Ravisandiran
SLASH,AUT,2043,BAU,19 01 11*,SLASH_bottomAshesWasteInc,691443.3434344163,t,4.0,,Estimated from models - Check Reference,,Sowmya Ravisandiran
SLASH,AUT,2044,BAU,19 01 11*,SLASH_bottomAshesWasteInc,696517.763282499,t,4.0,,Estimated from models - Check Reference,,Sowmya Ravisandiran
SLASH,AUT,2045,BAU,19 01 11*,SLASH_bottomAshesWasteInc,701548.5380017591,t,4.0,,Estimated from models - Check Reference,,Sowmya Ravisandiran
SLASH,AUT,2046,BAU,19 01 11*,SLASH_bottomAshesWasteInc,706495.9671078797,t,4.0,,Estimated from models - Check Reference,,Sowmya Ravisandiran
