STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,TIME_HORIZ,Time horizon,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,CYP,Cyprus,POP,Population,PS,Persons,_T,Total,_T,Total,P,Projection,2022,,915360,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,CYP,Cyprus,POP,Population,PS,Persons,_T,Total,_T,Total,P,Projection,2023,,931053,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,CYP,Cyprus,POP,Population,PS,Persons,_T,Total,_T,Total,P,Projection,2024,,938925,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,CYP,Cyprus,POP,Population,PS,Persons,_T,Total,_T,Total,P,Projection,2025,,944102,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,CYP,Cyprus,POP,Population,PS,Persons,_T,Total,_T,Total,P,Projection,2026,,948302,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,CYP,Cyprus,POP,Population,PS,Persons,_T,Total,_T,Total,P,Projection,2027,,951485,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,CYP,Cyprus,POP,Population,PS,Persons,_T,Total,_T,Total,P,Projection,2028,,954099,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,CYP,Cyprus,POP,Population,PS,Persons,_T,Total,_T,Total,P,Projection,2029,,956557,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,CYP,Cyprus,POP,Population,PS,Persons,_T,Total,_T,Total,P,Projection,2030,,958828,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,CYP,Cyprus,POP,Population,PS,Persons,_T,Total,_T,Total,P,Projection,2031,,960900,,A,Normal value,0,Units,0,Zero
