DATAFLOW,LAST UPDATE,freq,wst_oper,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,AL,2013,29,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,AL,2014,13,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,AL,2015,12,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,AL,2016,14,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,AL,2017,7,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,AL,2018,9,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,AL,2019,1,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,AL,2020,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,AL,2021,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,AT,1995,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,AT,1996,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,AT,1997,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,AT,1998,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,AT,1999,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,AT,2000,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,AT,2001,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,AT,2002,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,AT,2003,0,
