DATAFLOW,LAST UPDATE,freq,wst_oper,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,AL,2013,325,s
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,AL,2014,425,s
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,AL,2015,491,s
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,AL,2016,452,e
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,AL,2017,436,e
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,AL,2018,462,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,AL,2019,381,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,AL,2020,369,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,AL,2021,311,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,AT,2012,579,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,AT,2013,578,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,AT,2014,565,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,AT,2015,560,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,AT,2016,564,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,AT,2017,570,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,AT,2018,579,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,AT,2019,588,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,AT,2020,834,b
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,AT,2021,835,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,BA,2012,340,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,BA,2013,311,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,BA,2014,349,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,BA,2015,340,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,BA,2016,354,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,BA,2017,352,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,BA,2018,356,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,BA,2019,352,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,BE,2012,445,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,BE,2013,436,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,BE,2014,425,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,BE,2015,412,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,BE,2016,419,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,BE,2017,411,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,BE,2018,409,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,BE,2019,416,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,BE,2020,729,b
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,BE,2021,755,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,BG,2012,460,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,BG,2013,432,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,BG,2014,442,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,BG,2015,419,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,BG,2016,404,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,BG,2017,435,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,BG,2018,407,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,BG,2019,442,s
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,BG,2020,408,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,BG,2021,445,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,CH,2012,697,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,CH,2013,706,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,CH,2014,733,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,CH,2015,728,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,CH,2016,723,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,CH,2017,709,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,CH,2018,706,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,CH,2019,709,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,CH,2020,706,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,CH,2021,704,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,CY,2012,664,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,CY,2013,618,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,CY,2014,602,
