STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVERSION_TYPE,Conversion type,BASE_PER,Base period,PRICE_BASE,Price base
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ARG,Argentina,A,Annual,RECYCLING,Recycling,PT_WST_TR,Percentage of treated waste,2005,,5.769006,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ARG,Argentina,A,Annual,RECYCLING,Recycling,PT_WST_TR,Percentage of treated waste,2010,,5.769279,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ARG,Argentina,A,Annual,RECYCLING,Recycling,PT_WST_TR,Percentage of treated waste,2019,,5.769014,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ARM,Armenia,A,Annual,LANDFILL,Landfill,PT_WST_TR,Percentage of treated waste,1990,,100,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ARM,Armenia,A,Annual,LANDFILL,Landfill,PT_WST_TR,Percentage of treated waste,1995,,100,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ARM,Armenia,A,Annual,LANDFILL,Landfill,PT_WST_TR,Percentage of treated waste,1996,,100,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ARM,Armenia,A,Annual,LANDFILL,Landfill,PT_WST_TR,Percentage of treated waste,1997,,100,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ARM,Armenia,A,Annual,LANDFILL,Landfill,PT_WST_TR,Percentage of treated waste,1998,,100,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ARM,Armenia,A,Annual,LANDFILL,Landfill,PT_WST_TR,Percentage of treated waste,1999,,100,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ARM,Armenia,A,Annual,LANDFILL,Landfill,PT_WST_TR,Percentage of treated waste,2000,,100,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ARM,Armenia,A,Annual,LANDFILL,Landfill,PT_WST_TR,Percentage of treated waste,2001,,100,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ARM,Armenia,A,Annual,LANDFILL,Landfill,PT_WST_TR,Percentage of treated waste,2002,,100,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ARM,Armenia,A,Annual,LANDFILL,Landfill,PT_WST_TR,Percentage of treated waste,2003,,100,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ARM,Armenia,A,Annual,LANDFILL,Landfill,PT_WST_TR,Percentage of treated waste,2004,,100,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ARM,Armenia,A,Annual,LANDFILL,Landfill,PT_WST_TR,Percentage of treated waste,2005,,100,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ARM,Armenia,A,Annual,LANDFILL,Landfill,PT_WST_TR,Percentage of treated waste,2006,,100,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ARM,Armenia,A,Annual,LANDFILL,Landfill,PT_WST_TR,Percentage of treated waste,2007,,100,,A,Normal value,0,Units,1,One,,,,,,
