,LOCATION,VARIABLE,TIME,Value
0,AUT,GDPVD_CAP,2022,52668.491305956
1,AUT,GDPVD_CAP,2023,52274.8493575466
2,AUT,GDPVD_CAP,2024,52491.3730964136
3,AUT,GDPVD_CAP,2025,53137.3945548799
4,AUT,GDPVD_CAP,2026,54248.82
5,AUT,GDPVD_CAP,2027,55256.41
6,AUT,GDPVD_CAP,2028,56104.87
7,AUT,GDPVD_CAP,2029,56848.52
8,AUT,GDPVD_CAP,2030,57557.78
9,AUT,GDPVD_CAP,2031,58275.59
10,AUT,GDPVD_CAP,2032,59024.22
11,AUT,GDPVD_CAP,2033,59814.07
12,AUT,GDPVD_CAP,2034,60630.69
13,AUT,GDPVD_CAP,2035,61497.51
14,AUT,GDPVD_CAP,2036,62409.88
15,AUT,GDPVD_CAP,2037,63362.3
16,AUT,GDPVD_CAP,2038,64349.73
17,AUT,GDPVD_CAP,2039,65359.59
18,AUT,GDPVD_CAP,2040,66385.98
19,AUT,GDPVD_CAP,2041,67426.26
20,AUT,GDPVD_CAP,2042,68475.97
21,AUT,GDPVD_CAP,2043,69535.13
22,AUT,GDPVD_CAP,2044,70601.79
23,AUT,GDPVD_CAP,2045,71668.3
24,AUT,GDPVD_CAP,2046,72737.65
25,AUT,GDPVD_CAP,2047,73809.48
26,AUT,GDPVD_CAP,2048,74888.91
27,AUT,GDPVD_CAP,2049,75973.85
28,AUT,GDPVD_CAP,2050,77064.78
29,BEL,GDPVD_CAP,2022,49747.706992388
30,BEL,GDPVD_CAP,2023,50183.5731967317
31,BEL,GDPVD_CAP,2024,50531.7185395328
32,BEL,GDPVD_CAP,2025,51108.7735831789
33,BEL,GDPVD_CAP,2026,51800.92
34,BEL,GDPVD_CAP,2027,52499.64
35,BEL,GDPVD_CAP,2028,53176.44
36,BEL,GDPVD_CAP,2029,53834.79
37,BEL,GDPVD_CAP,2030,54495.98
38,BEL,GDPVD_CAP,2031,55179.2
39,BEL,GDPVD_CAP,2032,55887.78
40,BEL,GDPVD_CAP,2033,56624.93
41,BEL,GDPVD_CAP,2034,57374.26
42,BEL,GDPVD_CAP,2035,58144.56
43,BEL,GDPVD_CAP,2036,58935.57
44,BEL,GDPVD_CAP,2037,59740.22
45,BEL,GDPVD_CAP,2038,60551.82
46,BEL,GDPVD_CAP,2039,61366.66
47,BEL,GDPVD_CAP,2040,62186.57
48,BEL,GDPVD_CAP,2041,63010.6
49,BEL,GDPVD_CAP,2042,63839.15
50,BEL,GDPVD_CAP,2043,64671.79
51,BEL,GDPVD_CAP,2044,65508.62
52,BEL,GDPVD_CAP,2045,66349.95
53,BEL,GDPVD_CAP,2046,67194.68
54,BEL,GDPVD_CAP,2047,68048.67
55,BEL,GDPVD_CAP,2048,68913.4
56,BEL,GDPVD_CAP,2049,69787.61
57,BEL,GDPVD_CAP,2050,70668.74
58,CZE,GDPVD_CAP,2022,38411.5550567844
59,CZE,GDPVD_CAP,2023,38037.4102652476
60,CZE,GDPVD_CAP,2024,38744.1608147716
61,CZE,GDPVD_CAP,2025,39681.701777983
62,CZE,GDPVD_CAP,2026,40522.99
63,CZE,GDPVD_CAP,2027,41332.31
64,CZE,GDPVD_CAP,2028,42135.28
65,CZE,GDPVD_CAP,2029,42952.85
66,CZE,GDPVD_CAP,2030,43791.07
67,CZE,GDPVD_CAP,2031,44650.29
68,CZE,GDPVD_CAP,2032,45526.52
69,CZE,GDPVD_CAP,2033,46416.19
70,CZE,GDPVD_CAP,2034,47234.59
71,CZE,GDPVD_CAP,2035,48056.04
72,CZE,GDPVD_CAP,2036,48876.97
73,CZE,GDPVD_CAP,2037,49681.35
74,CZE,GDPVD_CAP,2038,50469.8
75,CZE,GDPVD_CAP,2039,51241.32
76,CZE,GDPVD_CAP,2040,52003.01
77,CZE,GDPVD_CAP,2041,52765.68
78,CZE,GDPVD_CAP,2042,53539.85
79,CZE,GDPVD_CAP,2043,54330.31
80,CZE,GDPVD_CAP,2044,55146.03
81,CZE,GDPVD_CAP,2045,55993.61
82,CZE,GDPVD_CAP,2046,56873.36
83,CZE,GDPVD_CAP,2047,57782.59
84,CZE,GDPVD_CAP,2048,58717.08
85,CZE,GDPVD_CAP,2049,59675.51
86,CZE,GDPVD_CAP,2050,60649.58
87,DNK,GDPVD_CAP,2022,55547.7138286475
88,DNK,GDPVD_CAP,2023,55943.094926866
89,DNK,GDPVD_CAP,2024,56357.6674625378
90,DNK,GDPVD_CAP,2025,56983.5814355802
91,DNK,GDPVD_CAP,2026,57626.6
92,DNK,GDPVD_CAP,2027,58249.33
93,DNK,GDPVD_CAP,2028,58820.85
94,DNK,GDPVD_CAP,2029,59359.15
95,DNK,GDPVD_CAP,2030,59890.66
96,DNK,GDPVD_CAP,2031,60440.52
97,DNK,GDPVD_CAP,2032,61022.49
98,DNK,GDPVD_CAP,2033,61647.3
99,DNK,GDPVD_CAP,2034,62302.18
100,DNK,GDPVD_CAP,2035,62998.51
101,DNK,GDPVD_CAP,2036,63732.55
102,DNK,GDPVD_CAP,2037,64491.84
103,DNK,GDPVD_CAP,2038,65293.2
104,DNK,GDPVD_CAP,2039,66126.04
105,DNK,GDPVD_CAP,2040,66993.32
106,DNK,GDPVD_CAP,2041,67903.46
107,DNK,GDPVD_CAP,2042,68853.93
108,DNK,GDPVD_CAP,2043,69848.18
109,DNK,GDPVD_CAP,2044,70880.68
110,DNK,GDPVD_CAP,2045,71947.48
111,DNK,GDPVD_CAP,2046,73045.2
112,DNK,GDPVD_CAP,2047,74166.82
113,DNK,GDPVD_CAP,2048,75306.26
114,DNK,GDPVD_CAP,2049,76454.28
115,DNK,GDPVD_CAP,2050,77599.79
116,FIN,GDPVD_CAP,2022,46586.8342397819
117,FIN,GDPVD_CAP,2023,46346.9836326809
118,FIN,GDPVD_CAP,2024,46682.5782086424
119,FIN,GDPVD_CAP,2025,47460.9135132061
120,FIN,GDPVD_CAP,2026,48269.84
121,FIN,GDPVD_CAP,2027,49038.93
122,FIN,GDPVD_CAP,2028,49747.7
123,FIN,GDPVD_CAP,2029,50420.26
124,FIN,GDPVD_CAP,2030,51082.86
125,FIN,GDPVD_CAP,2031,51761.66
126,FIN,GDPVD_CAP,2032,52465.03
127,FIN,GDPVD_CAP,2033,53201.99
128,FIN,GDPVD_CAP,2034,53961.26
129,FIN,GDPVD_CAP,2035,54762.06
130,FIN,GDPVD_CAP,2036,55606.8
131,FIN,GDPVD_CAP,2037,56483.9
132,FIN,GDPVD_CAP,2038,57394.41
133,FIN,GDPVD_CAP,2039,58327.38
134,FIN,GDPVD_CAP,2040,59278.3
135,FIN,GDPVD_CAP,2041,60247.57
136,FIN,GDPVD_CAP,2042,61235.68
137,FIN,GDPVD_CAP,2043,62243.65
138,FIN,GDPVD_CAP,2044,63272.12
139,FIN,GDPVD_CAP,2045,64319.76
140,FIN,GDPVD_CAP,2046,65387.43
141,FIN,GDPVD_CAP,2047,66467.25
142,FIN,GDPVD_CAP,2048,67563.64
143,FIN,GDPVD_CAP,2049,68675.75
144,FIN,GDPVD_CAP,2050,69801.84
145,FRA,GDPVD_CAP,2022,42932.2490381587
146,FRA,GDPVD_CAP,2023,43177.9105604648
147,FRA,GDPVD_CAP,2024,43388.3727217096
148,FRA,GDPVD_CAP,2025,43784.6068161537
149,FRA,GDPVD_CAP,2026,44435.48
150,FRA,GDPVD_CAP,2027,45097.37
151,FRA,GDPVD_CAP,2028,45714.79
152,FRA,GDPVD_CAP,2029,46296.56
153,FRA,GDPVD_CAP,2030,46863.26
154,FRA,GDPVD_CAP,2031,47430.2
155,FRA,GDPVD_CAP,2032,48001.34
156,FRA,GDPVD_CAP,2033,48583.55
157,FRA,GDPVD_CAP,2034,49175.04
158,FRA,GDPVD_CAP,2035,49783.39
159,FRA,GDPVD_CAP,2036,50406.74
160,FRA,GDPVD_CAP,2037,51048.83
161,FRA,GDPVD_CAP,2038,51703.59
162,FRA,GDPVD_CAP,2039,52373.05
163,FRA,GDPVD_CAP,2040,53058.64
164,FRA,GDPVD_CAP,2041,53759.52
165,FRA,GDPVD_CAP,2042,54476.54
166,FRA,GDPVD_CAP,2043,55209.74
167,FRA,GDPVD_CAP,2044,55959.05
168,FRA,GDPVD_CAP,2045,56722.09
169,FRA,GDPVD_CAP,2046,57502.91
170,FRA,GDPVD_CAP,2047,58300.57
171,FRA,GDPVD_CAP,2048,59120.54
172,FRA,GDPVD_CAP,2049,59962.54
173,FRA,GDPVD_CAP,2050,60825.57
174,DEU,GDPVD_CAP,2022,50135.6470868177
175,DEU,GDPVD_CAP,2023,49808.8151133743
176,DEU,GDPVD_CAP,2024,49987.0227892742
177,DEU,GDPVD_CAP,2025,50504.5745596267
178,DEU,GDPVD_CAP,2026,51071.91
179,DEU,GDPVD_CAP,2027,51624.97
180,DEU,GDPVD_CAP,2028,52111.52
181,DEU,GDPVD_CAP,2029,52558.59
182,DEU,GDPVD_CAP,2030,53011.25
183,DEU,GDPVD_CAP,2031,53498.48
184,DEU,GDPVD_CAP,2032,54032.3
185,DEU,GDPVD_CAP,2033,54623.34
