"LOCATION","Country","VARIABLE","Variable","SCENARIO","Scenario","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","1990","1990",513774330384.464,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","1991","1991",506945529647.63,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","1992","1992",522250168284.362,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","1993","1993",543637228791.63,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","1994","1994",569455504292.035,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","1995","1995",587295329245.582,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","1996","1996",610611180470.389,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","1997","1997",636094091803.415,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","1998","1998",667631428353.57,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","1999","1999",694951992362.2,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2000","2000",718500751916.396,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2001","2001",738175846851.642,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2002","2002",767826685501.104,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2003","2003",791933591102.963,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2004","2004",823261846262.798,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2005","2005",848066285505.868,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2006","2006",870837691172.975,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2007","2007",908932797028.07,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2008","2008",930908978603.79,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2009","2009",949354007809.659,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2010","2010",972936125078.551,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2011","2011",998810989559.241,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2012","2012",1037719189710.03,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2013","2013",1060217776924.81,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2014","2014",1087018913661.76,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2015","2015",1111682773964.33,,
"AUS","Australia","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2016","2016",1141524823799.81,,
