STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,TRANSACTION,Transaction,INSTR_ASSET,Financial instruments and non-financial assets,ACTIVITY,Economic activity,EXPENDITURE,Expenditure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,TIME_PERIOD,Time period,OBS_VALUE,Observation value,REF_YEAR_PRICE,Price reference year,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_VPVOB(1.0),"Annual GDP and components - expenditure approach, US $, volume, constant PPPs, reference year 2015, millions",I,A,Annual,CYP,Cyprus,S1,Total economy,S1,Total economy,B1GQ,Gross domestic product,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",LR,Chain linked volume (rebased),N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2010,,29412.223,,2015,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_VPVOB(1.0),"Annual GDP and components - expenditure approach, US $, volume, constant PPPs, reference year 2015, millions",I,A,Annual,CYP,Cyprus,S1,Total economy,S1,Total economy,B1GQ,Gross domestic product,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",LR,Chain linked volume (rebased),N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2011,,29534.792,,2015,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_VPVOB(1.0),"Annual GDP and components - expenditure approach, US $, volume, constant PPPs, reference year 2015, millions",I,A,Annual,CYP,Cyprus,S1,Total economy,S1,Total economy,B1GQ,Gross domestic product,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",LR,Chain linked volume (rebased),N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2012,,28516.606,,2015,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_VPVOB(1.0),"Annual GDP and components - expenditure approach, US $, volume, constant PPPs, reference year 2015, millions",I,A,Annual,CYP,Cyprus,S1,Total economy,S1,Total economy,B1GQ,Gross domestic product,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",LR,Chain linked volume (rebased),N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2013,,26638.169,,2015,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_VPVOB(1.0),"Annual GDP and components - expenditure approach, US $, volume, constant PPPs, reference year 2015, millions",I,A,Annual,CYP,Cyprus,S1,Total economy,S1,Total economy,B1GQ,Gross domestic product,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",LR,Chain linked volume (rebased),N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2014,,26164.971,,2015,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_VPVOB(1.0),"Annual GDP and components - expenditure approach, US $, volume, constant PPPs, reference year 2015, millions",I,A,Annual,CYP,Cyprus,S1,Total economy,S1,Total economy,B1GQ,Gross domestic product,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",LR,Chain linked volume (rebased),N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2015,,27059.529,,2015,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_VPVOB(1.0),"Annual GDP and components - expenditure approach, US $, volume, constant PPPs, reference year 2015, millions",I,A,Annual,CYP,Cyprus,S1,Total economy,S1,Total economy,B1GQ,Gross domestic product,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",LR,Chain linked volume (rebased),N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2016,,28838.369,,2015,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_VPVOB(1.0),"Annual GDP and components - expenditure approach, US $, volume, constant PPPs, reference year 2015, millions",I,A,Annual,CYP,Cyprus,S1,Total economy,S1,Total economy,B1GQ,Gross domestic product,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",LR,Chain linked volume (rebased),N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2017,,30491.769,,2015,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_VPVOB(1.0),"Annual GDP and components - expenditure approach, US $, volume, constant PPPs, reference year 2015, millions",I,A,Annual,CYP,Cyprus,S1,Total economy,S1,Total economy,B1GQ,Gross domestic product,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",LR,Chain linked volume (rebased),N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2018,,32213.934,,2015,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_VPVOB(1.0),"Annual GDP and components - expenditure approach, US $, volume, constant PPPs, reference year 2015, millions",I,A,Annual,CYP,Cyprus,S1,Total economy,S1,Total economy,B1GQ,Gross domestic product,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_PPP,"US dollars, PPP converted",LR,Chain linked volume (rebased),N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2019,,33995.192,,2015,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
