"scenario","country","region","sector","wregion","year","urt","activity","technology","perc"
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2015,"rur",0,"NOC",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2015,"rur",0,"SWD_COMP",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2015,"rur",0,"SWD_COVER",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2015,"rur",0,"SWD_FLA",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2015,"rur",0,"SWD_UNM_HIGH",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2015,"rur",0,"SWD_UNM_LOW",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2015,"rur",0,"SWD_USE",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2015,"rur",0,"TREAT_INC",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2015,"rur",0,"TREAT_INC_ENE",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2015,"rur",0,"UNC_BURN",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2015,"rur",0,"TREAT_REC",87.812639484
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2015,"rur",0,"TREAT_LSC",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2015,"rur",0,"TREAT_LSC_IMP",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2015,"rur",0,"TREAT_AD",9.062498005
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2015,"rur",0,"TREAT_AD_IMP",3.124862511
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2020,"rur",0.0025490606,"NOC",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2020,"rur",0.0025490606,"SWD_COMP",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2020,"rur",0.0025490606,"SWD_COVER",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2020,"rur",0.0025490606,"SWD_FLA",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2020,"rur",0.0025490606,"SWD_UNM_HIGH",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2020,"rur",0.0025490606,"SWD_UNM_LOW",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2020,"rur",0.0025490606,"SWD_USE",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2020,"rur",0.0025490606,"TREAT_INC",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2020,"rur",0.0025490606,"TREAT_INC_ENE",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2020,"rur",0.0025490606,"UNC_BURN",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2020,"rur",0.0025490606,"TREAT_REC",86.287140887
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2020,"rur",0.0025490606,"TREAT_LSC",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2020,"rur",0.0025490606,"TREAT_LSC_IMP",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2020,"rur",0.0025490606,"TREAT_AD",10.19685585
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2020,"rur",0.0025490606,"TREAT_AD_IMP",3.516003263
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2025,"rur",0.00263404649,"NOC",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2025,"rur",0.00263404649,"SWD_COMP",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2025,"rur",0.00263404649,"SWD_COVER",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2025,"rur",0.00263404649,"SWD_FLA",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2025,"rur",0.00263404649,"SWD_UNM_HIGH",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2025,"rur",0.00263404649,"SWD_UNM_LOW",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2025,"rur",0.00263404649,"SWD_USE",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2025,"rur",0.00263404649,"TREAT_INC",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2025,"rur",0.00263404649,"TREAT_INC_ENE",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2025,"rur",0.00263404649,"UNC_BURN",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2025,"rur",0.00263404649,"TREAT_REC",86.287140887
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2025,"rur",0.00263404649,"TREAT_LSC",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2025,"rur",0.00263404649,"TREAT_LSC_IMP",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2025,"rur",0.00263404649,"TREAT_AD",10.19685585
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2025,"rur",0.00263404649,"TREAT_AD_IMP",3.516003263
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2030,"rur",0.00263214656,"NOC",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2030,"rur",0.00263214656,"SWD_COMP",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2030,"rur",0.00263214656,"SWD_COVER",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2030,"rur",0.00263214656,"SWD_FLA",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2030,"rur",0.00263214656,"SWD_UNM_HIGH",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2030,"rur",0.00263214656,"SWD_UNM_LOW",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2030,"rur",0.00263214656,"SWD_USE",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2030,"rur",0.00263214656,"TREAT_INC",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2030,"rur",0.00263214656,"TREAT_INC_ENE",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2030,"rur",0.00263214656,"UNC_BURN",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2030,"rur",0.00263214656,"TREAT_REC",86.287140887
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2030,"rur",0.00263214656,"TREAT_LSC",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2030,"rur",0.00263214656,"TREAT_LSC_IMP",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2030,"rur",0.00263214656,"TREAT_AD",10.19685585
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2030,"rur",0.00263214656,"TREAT_AD_IMP",3.516003263
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2035,"rur",0.00259110546,"NOC",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2035,"rur",0.00259110546,"SWD_COMP",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2035,"rur",0.00259110546,"SWD_COVER",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2035,"rur",0.00259110546,"SWD_FLA",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2035,"rur",0.00259110546,"SWD_UNM_HIGH",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2035,"rur",0.00259110546,"SWD_UNM_LOW",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2035,"rur",0.00259110546,"SWD_USE",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2035,"rur",0.00259110546,"TREAT_INC",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2035,"rur",0.00259110546,"TREAT_INC_ENE",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2035,"rur",0.00259110546,"UNC_BURN",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2035,"rur",0.00259110546,"TREAT_REC",86.287140887
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2035,"rur",0.00259110546,"TREAT_LSC",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2035,"rur",0.00259110546,"TREAT_LSC_IMP",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2035,"rur",0.00259110546,"TREAT_AD",10.19685585
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2035,"rur",0.00259110546,"TREAT_AD_IMP",3.516003263
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2040,"rur",0.00253964018,"NOC",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2040,"rur",0.00253964018,"SWD_COMP",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2040,"rur",0.00253964018,"SWD_COVER",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2040,"rur",0.00253964018,"SWD_FLA",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2040,"rur",0.00253964018,"SWD_UNM_HIGH",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2040,"rur",0.00253964018,"SWD_UNM_LOW",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2040,"rur",0.00253964018,"SWD_USE",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2040,"rur",0.00253964018,"TREAT_INC",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2040,"rur",0.00253964018,"TREAT_INC_ENE",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2040,"rur",0.00253964018,"UNC_BURN",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2040,"rur",0.00253964018,"TREAT_REC",86.287140887
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2040,"rur",0.00253964018,"TREAT_LSC",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2040,"rur",0.00253964018,"TREAT_LSC_IMP",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2040,"rur",0.00253964018,"TREAT_AD",10.19685585
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2040,"rur",0.00253964018,"TREAT_AD_IMP",3.516003263
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2045,"rur",0.00246490133,"NOC",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2045,"rur",0.00246490133,"SWD_COMP",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2045,"rur",0.00246490133,"SWD_COVER",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2045,"rur",0.00246490133,"SWD_FLA",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2045,"rur",0.00246490133,"SWD_UNM_HIGH",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2045,"rur",0.00246490133,"SWD_UNM_LOW",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2045,"rur",0.00246490133,"SWD_USE",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2045,"rur",0.00246490133,"TREAT_INC",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2045,"rur",0.00246490133,"TREAT_INC_ENE",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2045,"rur",0.00246490133,"UNC_BURN",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2045,"rur",0.00246490133,"TREAT_REC",86.287140887
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2045,"rur",0.00246490133,"TREAT_LSC",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2045,"rur",0.00246490133,"TREAT_LSC_IMP",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2045,"rur",0.00246490133,"TREAT_AD",10.19685585
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2045,"rur",0.00246490133,"TREAT_AD_IMP",3.516003263
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2050,"rur",0.00236545704,"NOC",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2050,"rur",0.00236545704,"SWD_COMP",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2050,"rur",0.00236545704,"SWD_COVER",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2050,"rur",0.00236545704,"SWD_FLA",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2050,"rur",0.00236545704,"SWD_UNM_HIGH",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2050,"rur",0.00236545704,"SWD_UNM_LOW",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2050,"rur",0.00236545704,"SWD_USE",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2050,"rur",0.00236545704,"TREAT_INC",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2050,"rur",0.00236545704,"TREAT_INC_ENE",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2050,"rur",0.00236545704,"UNC_BURN",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2050,"rur",0.00236545704,"TREAT_REC",86.287140887
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2050,"rur",0.00236545704,"TREAT_LSC",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2050,"rur",0.00236545704,"TREAT_LSC_IMP",0
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2050,"rur",0.00236545704,"TREAT_AD",10.19685585
"counterfactual","AUST","WHOL","MSW_RUR_BIO_PLA","EU27",2050,"rur",0.00236545704,"TREAT_AD_IMP",3.516003263
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2015,"rur",0.417789528,"NOC",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2015,"rur",0.417789528,"SWD_COMP",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2015,"rur",0.417789528,"SWD_COVER",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2015,"rur",0.417789528,"SWD_FLA",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2015,"rur",0.417789528,"SWD_UNM_HIGH",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2015,"rur",0.417789528,"SWD_UNM_LOW",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2015,"rur",0.417789528,"SWD_USE",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2015,"rur",0.417789528,"TREAT_INC",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2015,"rur",0.417789528,"TREAT_INC_ENE",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2015,"rur",0.417789528,"UNC_BURN",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2015,"rur",0.417789528,"TREAT_HSC",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2015,"rur",0.417789528,"TREAT_LSC",24.0339376309614
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2015,"rur",0.417789528,"TREAT_HSC_IMP",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2015,"rur",0.417789528,"TREAT_LSC_IMP",63.7787018525511
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2015,"rur",0.417789528,"TREAT_AD",9.0624980053625
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2015,"rur",0.417789528,"TREAT_AD_IMP",3.12486251112499
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2020,"rur",0.643809685,"NOC",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2020,"rur",0.643809685,"SWD_COMP",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2020,"rur",0.643809685,"SWD_COVER",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2020,"rur",0.643809685,"SWD_FLA",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2020,"rur",0.643809685,"SWD_UNM_HIGH",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2020,"rur",0.643809685,"SWD_UNM_LOW",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2020,"rur",0.643809685,"SWD_USE",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2020,"rur",0.643809685,"TREAT_INC",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2020,"rur",0.643809685,"TREAT_INC_ENE",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2020,"rur",0.643809685,"UNC_BURN",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2020,"rur",0.643809685,"TREAT_HSC",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2020,"rur",0.643809685,"TREAT_LSC",23.6164152992915
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2020,"rur",0.643809685,"TREAT_HSC_IMP",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2020,"rur",0.643809685,"TREAT_LSC_IMP",62.6707255881199
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2020,"rur",0.643809685,"TREAT_AD",10.1968558496941
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2020,"rur",0.643809685,"TREAT_AD_IMP",3.51600326289452
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2025,"rur",0.644662069,"NOC",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2025,"rur",0.644662069,"SWD_COMP",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2025,"rur",0.644662069,"SWD_COVER",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2025,"rur",0.644662069,"SWD_FLA",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2025,"rur",0.644662069,"SWD_UNM_HIGH",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2025,"rur",0.644662069,"SWD_UNM_LOW",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2025,"rur",0.644662069,"SWD_USE",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2025,"rur",0.644662069,"TREAT_INC",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2025,"rur",0.644662069,"TREAT_INC_ENE",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2025,"rur",0.644662069,"UNC_BURN",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2025,"rur",0.644662069,"TREAT_HSC",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2025,"rur",0.644662069,"TREAT_LSC",23.6164152992915
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2025,"rur",0.644662069,"TREAT_HSC_IMP",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2025,"rur",0.644662069,"TREAT_LSC_IMP",62.6707255881199
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2025,"rur",0.644662069,"TREAT_AD",10.1968558496941
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2025,"rur",0.644662069,"TREAT_AD_IMP",3.51600326289452
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2030,"rur",0.628677441,"NOC",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2030,"rur",0.628677441,"SWD_COMP",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2030,"rur",0.628677441,"SWD_COVER",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2030,"rur",0.628677441,"SWD_FLA",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2030,"rur",0.628677441,"SWD_UNM_HIGH",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2030,"rur",0.628677441,"SWD_UNM_LOW",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2030,"rur",0.628677441,"SWD_USE",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2030,"rur",0.628677441,"TREAT_INC",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2030,"rur",0.628677441,"TREAT_INC_ENE",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2030,"rur",0.628677441,"UNC_BURN",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2030,"rur",0.628677441,"TREAT_HSC",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2030,"rur",0.628677441,"TREAT_LSC",23.6164152992915
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2030,"rur",0.628677441,"TREAT_HSC_IMP",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2030,"rur",0.628677441,"TREAT_LSC_IMP",62.6707255881199
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2030,"rur",0.628677441,"TREAT_AD",10.1968558496941
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2030,"rur",0.628677441,"TREAT_AD_IMP",3.51600326289452
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2035,"rur",0.60551593,"NOC",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2035,"rur",0.60551593,"SWD_COMP",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2035,"rur",0.60551593,"SWD_COVER",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2035,"rur",0.60551593,"SWD_FLA",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2035,"rur",0.60551593,"SWD_UNM_HIGH",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2035,"rur",0.60551593,"SWD_UNM_LOW",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2035,"rur",0.60551593,"SWD_USE",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2035,"rur",0.60551593,"TREAT_INC",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2035,"rur",0.60551593,"TREAT_INC_ENE",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2035,"rur",0.60551593,"UNC_BURN",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2035,"rur",0.60551593,"TREAT_HSC",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2035,"rur",0.60551593,"TREAT_LSC",23.6164152992915
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2035,"rur",0.60551593,"TREAT_HSC_IMP",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2035,"rur",0.60551593,"TREAT_LSC_IMP",62.6707255881199
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2035,"rur",0.60551593,"TREAT_AD",10.1968558496941
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2035,"rur",0.60551593,"TREAT_AD_IMP",3.51600326289452
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2040,"rur",0.577446622,"NOC",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2040,"rur",0.577446622,"SWD_COMP",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2040,"rur",0.577446622,"SWD_COVER",0
"counterfactual","AUST","WHOL","MSW_RUR_FOOD","EU27",2040,"rur",0.577446622,"SWD_FLA",0
