TIME_PERIOD,unit,DSP_I,DSP_I_RCV_E,DSP_L_OTH,GEN,PRP_REU,RCV_E,RCY,RCY_C_D,RCY_M,TRT,Country
1995,THS_T,0.0,431.0,1626.0,3476.0,0.0,431.0,1756.0,936.0,820.0,3835.0,AUT
1996,THS_T,0.0,431.0,1476.0,4110.0,0.0,431.0,2553.0,1674.0,879.0,4484.0,AUT
1997,THS_T,0.0,445.0,1506.0,4241.0,0.0,445.0,2693.0,1752.0,941.0,4672.0,AUT
1998,THS_T,0.0,440.0,1483.0,4240.0,0.0,440.0,2731.0,1744.0,987.0,4676.0,AUT
1999,THS_T,0.0,456.0,1553.0,4496.0,0.0,456.0,2853.0,1792.0,1061.0,4885.0,AUT
2000,THS_T,0.0,522.0,1572.0,4646.0,0.0,522.0,2947.0,1818.0,1129.0,5069.0,AUT
2001,THS_T,0.0,521.0,1542.0,4634.0,0.0,521.0,2980.0,1855.0,1125.0,5074.0,AUT
2002,THS_T,0.0,530.0,1512.0,4914.0,0.0,530.0,3070.0,1955.0,1115.0,5146.0,AUT
2003,THS_T,0.0,592.0,1483.0,4932.0,0.0,592.0,3165.0,2055.0,1110.0,5279.0,AUT
2004,THS_T,0.0,1380.0,557.0,4687.0,0.0,1380.0,2688.0,1572.0,1116.0,4625.0,AUT
2005,THS_T,0.0,1310.0,535.0,4732.0,0.0,1310.0,2757.0,1577.0,1180.0,4601.0,AUT
2006,THS_T,0.0,1430.0,485.0,4933.0,0.0,1430.0,2920.0,1661.0,1259.0,4834.0,AUT
2007,THS_T,0.0,1453.0,427.0,4951.0,0.0,1453.0,2979.0,1661.0,1318.0,4859.0,AUT
2008,THS_T,0.0,1357.0,373.0,4997.0,0.0,1357.0,3159.0,1683.0,1476.0,4889.0,AUT
2009,THS_T,0.0,1440.0,302.0,4921.0,0.0,1440.0,3045.0,1553.0,1492.0,4788.0,AUT
2010,THS_T,0.0,1636.0,153.0,4701.0,0.0,1636.0,2792.0,1520.0,1272.0,4582.0,AUT
