TIME_PERIOD,unit,DSP_I,DSP_I_RCV_E,DSP_L_OTH,GEN,PRP_REU,RCV_E,RCY,RCY_C_D,RCY_M,TRT,Country
1995,KG_HAB,0.0,54.0,205.0,437.0,0.0,54.0,221.0,118.0,103.0,482.0,AUT
1996,KG_HAB,0.0,54.0,185.0,516.0,0.0,54.0,321.0,210.0,110.0,563.0,AUT
1997,KG_HAB,0.0,56.0,189.0,532.0,0.0,56.0,338.0,220.0,118.0,586.0,AUT
1998,KG_HAB,0.0,55.0,186.0,532.0,0.0,55.0,342.0,219.0,124.0,586.0,AUT
1999,KG_HAB,0.0,57.0,194.0,563.0,0.0,57.0,357.0,224.0,133.0,611.0,AUT
2000,KG_HAB,0.0,65.0,196.0,580.0,0.0,65.0,368.0,227.0,141.0,633.0,AUT
2001,KG_HAB,0.0,65.0,192.0,576.0,0.0,65.0,371.0,231.0,140.0,631.0,AUT
2002,KG_HAB,0.0,66.0,187.0,608.0,0.0,66.0,380.0,242.0,138.0,637.0,AUT
2003,KG_HAB,0.0,73.0,183.0,607.0,0.0,73.0,390.0,253.0,137.0,650.0,AUT
2004,KG_HAB,0.0,169.0,68.0,574.0,0.0,169.0,329.0,192.0,137.0,566.0,AUT
2005,KG_HAB,0.0,159.0,65.0,575.0,0.0,159.0,335.0,192.0,143.0,559.0,AUT
2006,KG_HAB,0.0,173.0,59.0,597.0,0.0,173.0,353.0,201.0,152.0,585.0,AUT
2007,KG_HAB,0.0,175.0,51.0,597.0,0.0,175.0,359.0,200.0,159.0,586.0,AUT
2008,KG_HAB,0.0,163.0,45.0,600.0,0.0,163.0,380.0,202.0,177.0,587.0,AUT
2009,KG_HAB,0.0,173.0,36.0,590.0,0.0,173.0,365.0,186.0,179.0,574.0,AUT
2010,KG_HAB,0.0,196.0,18.0,562.0,0.0,196.0,334.0,182.0,152.0,548.0,AUT
2011,KG_HAB,0.0,200.0,27.0,573.0,0.0,200.0,325.0,188.0,137.0,552.0,AUT
