LOCATION,TIME,Scenario,INC%,DIS%
AUT,2010,OBS,0.9144773616545557,0.08552263834544431
AUT,2011,OBS,0.8794549266247381,0.12054507337526187
AUT,2012,OBS,0.8910526315789474,0.10894736842105252
AUT,2013,OBS,0.8960835509138381,0.10391644908616186
AUT,2014,OBS,0.9005128205128206,0.09948717948717951
AUT,2015,OBS,0.9271623672230654,0.0728376327769346
AUT,2016,OBS,0.9335681932561652,0.06643180674383475
AUT,2017,OBS,0.9496824621397167,0.050317537860283264
AUT,2018,OBS,0.9459330143540671,0.054066985645932875
AUT,2019,OBS,0.9497630331753555,0.05023696682464448
AUT,2020,OBS,0.951176051318603,0.048823948681396896
AUT,2021,OBS,0.9458303635067713,0.05416963649322871
AUT,2022,BAU,0.9966347261932295,0.0033652738067705213
AUT,2023,BAU,0.9975229750628616,0.0024770249371384194
AUT,2024,BAU,0.9981771902494688,0.0018228097505311295
AUT,2025,BAU,0.9986588436814137,0.001341156318586262
AUT,2026,BAU,0.9990133484810224,0.0009866515189775845
AUT,2027,BAU,0.9992742138414977,0.0007257861585023846
AUT,2028,BAU,0.999466143526812,0.0005338564731880624
AUT,2029,BAU,0.9996073379184784,0.00039266208152156814
AUT,2030,BAU,0.9997111996679982,0.0002888003320017413
AUT,2031,BAU,0.9997875949475594,0.0002124050524406108
AUT,2032,BAU,0.999843784728245,0.0001562152717550628
AUT,2033,BAU,0.9998851116808095,0.00011488831919042573
AUT,2034,BAU,0.99991550643006,8.449356993995739e-05
AUT,2035,BAU,0.999937860456471,6.213954352894066e-05
AUT,2036,BAU,0.9999543006558215,4.5699344178486524e-05
AUT,2037,BAU,0.9999663914291204,3.360857087953939e-05
AUT,2038,BAU,0.9999752833972901,2.4716602709854588e-05
AUT,2039,BAU,0.9999818228195839,1.8177180416062907e-05
AUT,2040,BAU,0.9999866320894648,1.3367910535210192e-05
AUT,2041,BAU,0.9999901689476814,9.831052318617352e-06
AUT,2042,BAU,0.9999927700367405,7.2299632595322e-06
AUT,2043,BAU,0.9999946829360509,5.317063949142244e-06
AUT,2044,BAU,0.9999960897235358,3.910276464132545e-06
AUT,2045,BAU,0.9999971243045682,2.8756954318870268e-06
AUT,2046,BAU,0.9999978851566894,2.1148433106250818e-06
AUT,2047,BAU,0.9999984447026948,1.5552973052021764e-06
AUT,2048,BAU,0.9999988562039805,1.1437960194513636e-06
AUT,2049,BAU,0.9999991588301531,8.41169846867336e-07
AUT,2050,BAU,0.9999993813873765,6.186126235203812e-07
BEL,2010,OBS,0.9599208312716477,0.04007916872835227
BEL,2011,OBS,0.9799511002444989,0.020048899755501084
BEL,2012,OBS,0.9846079846079847,0.01539201539201531
BEL,2013,OBS,0.9806718821905203,0.019328117809479788
