Waste categories,waste
Primary waste (TOTAL minus SEC),PRIM
Secondary waste (W033+W103+W128_13),SEC
Total waste,TOTAL
Waste excluding major mineral wastes,TOT_X_MIN
Chemical and medical wastes (subtotal),W01-05
Spent solvents,W011
"Acid, alkaline or saline wastes",W012
Used oils,W013
Chemical wastes,W02A
Industrial effluent sludges,W032
Sludges and liquid wastes from waste treatment,W033
Health care and biological wastes,W05
Metallic wastes (W061+W062+W063),W06
"Metal wastes, ferrous",W061
"Metal wastes, non-ferrous",W062
"Metal wastes, mixed ferrous and non-ferrous",W063
"Recyclable wastes (subtotal, W06+W07 except W077)",W06_07A
Glass wastes,W071
Paper and cardboard wastes,W072
Rubber wastes,W073
Plastic wastes,W074
Wood wastes,W075
Textile wastes,W076
Waste containing PCB,W077
"Equipment (subtotal, W077+W08A+W081+W0841)",W077_08
Discarded vehicles,W081
Batteries and accumulators wastes,W0841
"Discarded equipment (except discarded vehicles and batteries and accumulators waste) (W08 except W081, W0841)",W08A
Animal and mixed food waste,W091
Vegetal wastes,W092
"Animal faeces, urine and manure",W093
"Mixed ordinary wastes (subtotal, W101+W102+W103)",W10
Household and similar wastes,W101
Mixed and undifferentiated materials,W102
Sorting residues,W103
Common sludges,W11
Mineral and solidified wastes (subtotal),W12-13
Mineral waste from construction and demolition,W121
Combustion wastes,W124
Soils,W126
"Soils and dredging spoils (W126+W127, valid up to 2008)",W126_127
Dredging spoils,W127
Mineral wastes from waste treatment and stabilised wastes,W128_13
"Mineral wastes (except combustion wastes, contaminated soils and polluted dredging spoils) (W121+122+W123+W125+W126, valid up to 2008)",W12A
Other mineral wastes (W122+W123+W125),W12B
"Mineral waste (except non-hazardous dredging spoils, valid up to 2008)",W12_X_127NH
"Solidified, stabilised or vitrified wastes (valid up to 2008)",W13
"Animal and vegetal wastes (subtotal, W091+W092+W093)",W09
Animal and mixed food waste; vegetal wastes (W091+W092),W091_092
