Element,Unit,Fraction,n_data*,n_<DL**,Min,10%,25%,Median,75%,90%,Max
Ag,mg/kgTS,organic,9,7,0.08,0.08,1.00,1.00,1.00,1.20,1.20
Ag,mg/kgTS,food waste,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Ag,mg/kgTS,gardening waste,,,,,,,,,
Ag,mg/kgTS,paper & cardboard,4,3,0.08,0.08,0.09,0.56,1.00,1.00,1.00
Ag,mg/kgTS,composites,,,,,,,,,
Ag,mg/kgTS,plastic,3,3,0.08,0.08,0.08,1.00,1.00,1.00,1.00
Ag,mg/kgTS,combustibles,10,7,0.08,0.08,0.77,1.00,1.93,9.20,10.00
Ag,mg/kgTS,metal,5,4,1.00,1.00,1.00,3.14,17.85,26.00,26.00
Ag,mg/kgTS,glass,3,2,1.00,1.00,1.00,1.00,1.71,1.71,1.71
Ag,mg/kgTS,inert,3,2,1.00,1.00,1.00,1.00,5.78,5.78,5.78
Ag,mg/kgTS,mix,8,4,0.86,0.86,1.00,1.00,5.12,6.02,6.02
Al,mg/kgTS,organic,41,,286,2160,4100,8400,19464,25412,28333
Al,mg/kgTS,food waste,47,,12,21,30,46,103,851,3890
Al,mg/kgTS,gardening waste,16,,2360,3088,4453,11178,13916,21859,22550
Al,mg/kgTS,paper & cardboard,15,,681,1033,1800,11700,12933,25870,32425
Al,mg/kgTS,composites,2,,1430,1430,1430,28615,55800,55800,55800
Al,mg/kgTS,plastic,7,,692,692,720,820,5650,66800,66800
Al,mg/kgTS,combustibles,24,,200,250,678,1570,5150,10500,31600
Al,mg/kgTS,metal,10,,860,926,7055,171500,674500,846700,861000
Al,mg/kgTS,glass,7,,750,750,6860,7620,8470,9870,9870
Al,mg/kgTS,inert,8,,7300,7300,11361,22000,54483,57500,57500
Al,mg/kgTS,mix,34,,4670,5435,7118,13080,16280,20478,30500
As,mg/kgTS,organic,48,8,0.200,0.699,5.000,14.565,18.605,26.385,67.000
As,mg/kgTS,food waste,54,1,0.000,0.000,1.000,6.750,28.350,45.550,154.400
As,mg/kgTS,gardening waste,18,,0.000,0.495,1.188,2.405,3.080,9.582,13.020
As,mg/kgTS,paper & cardboard,57,4,0.000,0.126,0.345,1.090,6.100,24.100,35.100
As,mg/kgTS,composites,3,,0.140,0.140,0.140,0.200,0.200,0.200,0.200
As,mg/kgTS,plastic,46,5,0.000,0.000,0.215,2.250,10.075,25.580,44.800
As,mg/kgTS,combustibles,89,10,0.000,0.000,0.305,5.000,11.340,28.170,400.000
As,mg/kgTS,metal,45,1,0.000,0.000,0.000,6.200,29.800,92.040,539.000
As,mg/kgTS,glass,36,,0.000,0.000,3.800,35.900,280.475,497.680,1664.400
As,mg/kgTS,inert,39,2,0.000,0.000,4.000,10.400,25.000,91.000,1153.000
As,mg/kgTS,mix,50,2,0.000,1.633,4.060,10.950,30.068,56.465,177.990
Ash,%TS,organic,106,,0.0%,8.5%,12.0%,15.7%,28.0%,38.0%,74.0%
Ash,%TS,food waste,196,,0.2%,3.8%,11.5%,20.9%,26.9%,30.0%,73.7%
Ash,%TS,gardening waste,44,,0.4%,3.0%,6.8%,14.0%,38.6%,53.9%,78.4%
