Material type,Waste flow,Physiochemical property,Unit,min,max,diff,sector
food waste,residual,Ag,mg/kgTS,81.1325,82.3537,0.015051921239947127,MSW_URB_FOOD
food waste,residual,Al,mg/kgTS,2386.4,3035.7,0.2720834730137444,MSW_URB_FOOD
food waste,residual,As,mg/kgTS,2.6002,2.6393,0.015037304822705912,MSW_URB_FOOD
food waste,residual,Au,mg/kgTS,0.0495,0.0606,0.22424242424242422,MSW_URB_FOOD
food waste,residual,Ba,mg/kgTS,11.084,34.529,2.1152111151208954,MSW_URB_FOOD
food waste,residual,Be,mg/kgTS,1.9095,1.93827,0.015066771406127239,MSW_URB_FOOD
food waste,residual,Br,%TS,0.001,0.001,0.0,MSW_URB_FOOD
food waste,residual,C,%TS,43.36,46.01,0.061116236162361594,MSW_URB_FOOD
food waste,residual,Ca,mg/kgTS,10953.4,83752.7,6.646274216225099,MSW_URB_FOOD
food waste,residual,Cd,mg/kgTS,0.05903,0.0864,0.4636625444689142,MSW_URB_FOOD
food waste,residual,Ce,mg/kgTS,0.2179,1.2616,4.789811840293713,MSW_URB_FOOD
food waste,residual,Cl,%TS,0.641233,0.9257,0.443625016179766,MSW_URB_FOOD
food waste,residual,Co,mg/kgTS,0.779,5.35427,5.873260590500641,MSW_URB_FOOD
food waste,residual,Cr,mg/kgTS,4.5209,14.0601,2.110022340684377,MSW_URB_FOOD
food waste,residual,Cs,mg/kgTS,0.5582,0.5666,0.015048369759942606,MSW_URB_FOOD
food waste,residual,Cu,mg/kgTS,5.1023,16.7673,2.2862238598279205,MSW_URB_FOOD
food waste,residual,Dy,mg/kgTS,0.0102,0.059933,4.8757843137254895,MSW_URB_FOOD
food waste,residual,Er,mg/kgTS,0.020433,0.032433,0.5872852738217588,MSW_URB_FOOD
food waste,residual,Eu,mg/kgTS,0.009167,0.018033,0.9671648303698048,MSW_URB_FOOD
food waste,residual,F,%TS,0.001367,0.0037,1.7066569129480615,MSW_URB_FOOD
food waste,residual,Fe,mg/kgTS,321.98,1282.34,2.9826697310391945,MSW_URB_FOOD
food waste,residual,Ga,mg/kgTS,0.64377,1.18427,0.8395855662736692,MSW_URB_FOOD
food waste,residual,Gd,mg/kgTS,0.0136,0.08083,4.9433823529411764,MSW_URB_FOOD
food waste,residual,Ge,mg/kgTS,0.159,0.1614,0.015094339622641418,MSW_URB_FOOD
food waste,residual,H,%TS,7.05067,7.54433,0.07001604102872495,MSW_URB_FOOD
food waste,residual,HHV,MJ/kgTS,18.657,20.519,0.0998016830144181,MSW_URB_FOOD
food waste,residual,Hf,mg/kgTS,0.02123,0.09797,3.6146961846443717,MSW_URB_FOOD
food waste,residual,Hg,μg/kgTS,5.9,9.233,0.5649152542372882,MSW_URB_FOOD
food waste,residual,Ho,mg/kgTS,0.004367,0.0052,0.1907487978016944,MSW_URB_FOOD
food waste,residual,In,mg/kgTS,0.0095,0.009667,0.017578947368421104,MSW_URB_FOOD
food waste,residual,Ir,mg/kgTS,0.0998,0.1013,0.015030060120240494,MSW_URB_FOOD
food waste,residual,K,mg/kgTS,4729.0,10956.8,1.3169380418693168,MSW_URB_FOOD
food waste,residual,LHV,MJ/kgTS,17.1080383077,18.8615861423,0.1024984748725259,MSW_URB_FOOD
food waste,residual,La,mg/kgTS,0.12733,0.6209,3.876305662451897,MSW_URB_FOOD
food waste,residual,Li,mg/kgTS,1.68523,1.94293,0.15291681254190825,MSW_URB_FOOD
food waste,residual,Lu,mg/kgTS,0.006467,0.006567,0.015463120457708406,MSW_URB_FOOD
food waste,residual,Mg,mg/kgTS,1117.98,1232.4,0.10234530134707247,MSW_URB_FOOD
