LOCATION,TIME,GDPVD,Variable
AUT,2010,407960647068.812,"Gross domestic product, volume, USD at 2015 Purchasing Power Parities"
AUT,2011,420378532670.051,"Gross domestic product, volume, USD at 2015 Purchasing Power Parities"
AUT,2012,423416787296.006,"Gross domestic product, volume, USD at 2015 Purchasing Power Parities"
AUT,2013,423377223627.64,"Gross domestic product, volume, USD at 2015 Purchasing Power Parities"
AUT,2014,426774348811.292,"Gross domestic product, volume, USD at 2015 Purchasing Power Parities"
AUT,2015,431002381639.213,"Gross domestic product, volume, USD at 2015 Purchasing Power Parities"
AUT,2016,439520275773.758,"Gross domestic product, volume, USD at 2015 Purchasing Power Parities"
AUT,2017,449844055804.567,"Gross domestic product, volume, USD at 2015 Purchasing Power Parities"
AUT,2018,460563270102.9,"Gross domestic product, volume, USD at 2015 Purchasing Power Parities"
AUT,2019,467255255519.362,"Gross domestic product, volume, USD at 2015 Purchasing Power Parities"
AUT,2020,435833782428.386,"Gross domestic product, volume, USD at 2015 Purchasing Power Parities"
AUT,2021,454820077688.844,"Gross domestic product, volume, USD at 2015 Purchasing Power Parities"
AUT,2022,476801110225.932,"Gross domestic product, volume, USD at 2015 Purchasing Power Parities"
AUT,2023,475064653128.072,"Gross domestic product, volume, USD at 2015 Purchasing Power Parities"
AUT,2024,477964283614.109,"Gross domestic product, volume, USD at 2015 Purchasing Power Parities"
AUT,2025,485037584595.082,"Gross domestic product, volume, USD at 2015 Purchasing Power Parities"
AUT,2026,496691400000.0,"Gross domestic product, volume, USD at 2015 Purchasing Power Parities"
AUT,2027,507693000000.0,"Gross domestic product, volume, USD at 2015 Purchasing Power Parities"
AUT,2028,517272000000.0,"Gross domestic product, volume, USD at 2015 Purchasing Power Parities"
AUT,2029,525884700000.0,"Gross domestic product, volume, USD at 2015 Purchasing Power Parities"
AUT,2030,534151300000.0,"Gross domestic product, volume, USD at 2015 Purchasing Power Parities"
AUT,2031,542461400000.0,"Gross domestic product, volume, USD at 2015 Purchasing Power Parities"
AUT,2032,551042200000.0,"Gross domestic product, volume, USD at 2015 Purchasing Power Parities"
