LOCATION,TIME,GDPVD_CAP,Variable
AUT,2010,48792.8812773596,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2011,50113.4682973272,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2012,50249.3662168422,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2013,49942.8732767236,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2014,49950.5788214714,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2015,49945.122276133,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2016,50289.4773377988,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2017,51147.2793693204,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2018,52113.4350915798,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2019,52632.8408696325,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2020,48877.5774871477,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2021,50809.2567171658,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2022,52668.491305956,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2023,52274.8493575466,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2024,52491.3730964136,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2025,53137.3945548799,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2026,54248.82,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2027,55256.41,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2028,56104.87,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2029,56848.52,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2030,57557.78,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2031,58275.59,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2032,59024.22,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2033,59814.07,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2034,60630.69,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2035,61497.51,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2036,62409.88,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2037,63362.3,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2038,64349.73,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2039,65359.59,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2040,66385.98,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2041,67426.26,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2042,68475.97,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2043,69535.13,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2044,70601.79,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2045,71668.3,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2046,72737.65,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2047,73809.48,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2048,74888.91,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2049,75973.85,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
AUT,2050,77064.78,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2010,44811.9223126765,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2011,44985.0993675931,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2012,45036.0536207334,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2013,45032.0725827359,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2014,45538.9844429161,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2015,46200.6609543848,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2016,46550.4906121331,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2017,47121.3999692273,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2018,47748.0499776042,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2019,48554.6351327384,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2020,45780.9110235738,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2021,48714.8727505744,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2022,49747.706992388,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2023,50183.5731967317,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2024,50531.7185395328,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2025,51108.7735831789,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2026,51800.92,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2027,52499.64,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2028,53176.44,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2029,53834.79,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2030,54495.98,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2031,55179.2,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2032,55887.78,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2033,56624.93,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2034,57374.26,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2035,58144.56,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2036,58935.57,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2037,59740.22,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2038,60551.82,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2039,61366.66,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2040,62186.57,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2041,63010.6,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2042,63839.15,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2043,64671.79,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2044,65508.62,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2045,66349.95,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2046,67194.68,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2047,68048.67,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2048,68913.4,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2049,69787.61,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
BEL,2050,70668.74,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2010,31224.1989060277,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2011,31835.6272765665,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2012,31569.5371105336,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2013,31552.2026412112,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2014,32222.4043751113,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2015,33923.2460944776,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2016,34681.2053579879,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2017,36451.4777999996,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2018,37489.6223330439,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2019,38446.2028053834,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2020,36220.0611760236,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2021,37496.2174736689,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2022,38411.5550567844,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2023,38037.4102652476,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2024,38744.1608147716,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2025,39681.701777983,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2026,40522.99,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2027,41332.31,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2028,42135.28,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2029,42952.85,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2030,43791.07,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2031,44650.29,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2032,45526.52,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2033,46416.19,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2034,47234.59,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2035,48056.04,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2036,48876.97,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2037,49681.35,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2038,50469.8,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2039,51241.32,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2040,52003.01,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2041,52765.68,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2042,53539.85,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2043,54330.31,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2044,55146.03,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2045,55993.61,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2046,56873.36,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2047,57782.59,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2048,58717.08,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2049,59675.51,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
CZE,2050,60649.58,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2010,47134.3057788888,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2011,47567.1562161443,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2012,47495.8251669213,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2013,47751.2283919777,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2014,48266.5356442095,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2015,49058.1725640475,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2016,50235.0476410958,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2017,51330.0012837754,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2018,52089.2062016046,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2019,52658.1171285759,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2020,51266.8416957775,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2021,54551.2445205975,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2022,55547.7138286475,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2023,55943.094926866,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2024,56357.6674625378,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2025,56983.5814355802,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2026,57626.6,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2027,58249.33,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2028,58820.85,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2029,59359.15,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2030,59890.66,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2031,60440.52,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2032,61022.49,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2033,61647.3,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2034,62302.18,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2035,62998.51,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2036,63732.55,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2037,64491.84,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2038,65293.2,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2039,66126.04,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2040,66993.32,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2041,67903.46,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2042,68853.93,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2043,69848.18,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2044,70880.68,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2045,71947.48,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2046,73045.2,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2047,74166.82,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2048,75306.26,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2049,76454.28,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DNK,2050,77599.79,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2010,43252.6665807393,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2011,44149.8463374188,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2012,43325.9774478611,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2013,42738.1583156168,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2014,42398.6080446382,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2015,42489.7084241035,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2016,43566.6376440879,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2017,44852.7744553778,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2018,45297.7731925534,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2019,45807.3129532492,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2020,44654.5689849332,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2021,45981.3605029983,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2022,46586.8342397819,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2023,46346.9836326809,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2024,46682.5782086424,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2025,47460.9135132061,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2026,48269.84,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2027,49038.93,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2028,49747.7,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2029,50420.26,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2030,51082.86,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2031,51761.66,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2032,52465.03,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2033,53201.99,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2034,53961.26,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2035,54762.06,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2036,55606.8,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2037,56483.9,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2038,57394.41,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2039,58327.38,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2040,59278.3,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2041,60247.57,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2042,61235.68,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2043,62243.65,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2044,63272.12,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2045,64319.76,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2046,65387.43,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2047,66467.25,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2048,67563.64,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2049,68675.75,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FIN,2050,69801.84,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2010,39692.3584728131,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2011,40379.7566160578,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2012,40328.0161508902,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2013,40400.2420846052,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2014,40591.7865162459,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2015,40851.6247264575,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2016,41099.0009182646,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2017,41930.99623601,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2018,42482.9864615727,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2019,43088.6727788531,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2020,39635.6261070554,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2021,42013.9514015231,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2022,42932.2490381587,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2023,43177.9105604648,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2024,43388.3727217096,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2025,43784.6068161537,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2026,44435.48,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2027,45097.37,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2028,45714.79,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2029,46296.56,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2030,46863.26,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2031,47430.2,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2032,48001.34,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2033,48583.55,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2034,49175.04,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2035,49783.39,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2036,50406.74,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2037,51048.83,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2038,51703.59,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2039,52373.05,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2040,53058.64,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2041,53759.52,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2042,54476.54,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2043,55209.74,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2044,55959.05,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2045,56722.09,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2046,57502.91,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2047,58300.57,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2048,59120.54,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2049,59962.54,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
FRA,2050,60825.57,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2010,44457.5685797054,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2011,46236.9839252089,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2012,46435.6058040435,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2013,46563.4491067639,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2014,47392.3947843334,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2015,47567.2956801523,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2016,48195.3721778609,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2017,49448.5764441353,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2018,49795.0889986627,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2019,50231.6317570306,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2020,48083.843332566,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2021,49565.2743195055,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2022,50135.6470868177,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2023,49808.8151133743,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2024,49987.0227892742,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2025,50504.5745596267,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2026,51071.91,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2027,51624.97,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2028,52111.52,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2029,52558.59,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2030,53011.25,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2031,53498.48,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2032,54032.3,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2033,54623.34,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2034,55252.69,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2035,55950.46,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2036,56717.69,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2037,57546.74,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2038,58433.01,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
DEU,2039,59365.71,"Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities"
