unit,waste,Waste categories,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE,NUTS_code
T,W05,Health care and biological wastes,Austria,2004,0.0,AUT
T,W05,Health care and biological wastes,Austria,2006,0.0,AUT
T,W05,Health care and biological wastes,Austria,2008,0.0,AUT
T,W05,Health care and biological wastes,Austria,2010,2.0,AUT
T,W05,Health care and biological wastes,Austria,2012,9.0,AUT
T,W05,Health care and biological wastes,Austria,2014,10.0,AUT
T,W05,Health care and biological wastes,Austria,2016,5.0,AUT
T,W05,Health care and biological wastes,Austria,2018,5.0,AUT
T,W05,Health care and biological wastes,Austria,2020,5.0,AUT
T,W05,Health care and biological wastes,Austria,2022,5.0,AUT
T,W05,Health care and biological wastes,Bosnia and Herzegovina,2018,0.0,
T,W05,Health care and biological wastes,Bosnia and Herzegovina,2020,0.0,
T,W05,Health care and biological wastes,Bosnia and Herzegovina,2022,0.0,
T,W05,Health care and biological wastes,Belgium,2004,126.0,BEL
T,W05,Health care and biological wastes,Belgium,2006,94.0,BEL
T,W05,Health care and biological wastes,Belgium,2008,154.0,BEL
T,W05,Health care and biological wastes,Belgium,2010,50.0,BEL
T,W05,Health care and biological wastes,Belgium,2012,60.0,BEL
T,W05,Health care and biological wastes,Belgium,2014,69.0,BEL
T,W05,Health care and biological wastes,Belgium,2016,63.0,BEL
T,W05,Health care and biological wastes,Belgium,2018,54.0,BEL
T,W05,Health care and biological wastes,Belgium,2020,67.0,BEL
T,W05,Health care and biological wastes,Belgium,2022,96.0,BEL
T,W05,Health care and biological wastes,Bulgaria,2006,0.0,BGR
T,W05,Health care and biological wastes,Bulgaria,2008,0.0,BGR
T,W05,Health care and biological wastes,Bulgaria,2018,0.0,BGR
T,W05,Health care and biological wastes,Bulgaria,2020,0.0,BGR
T,W05,Health care and biological wastes,Bulgaria,2022,0.0,BGR
T,W05,Health care and biological wastes,Cyprus,2004,0.0,CYP
T,W05,Health care and biological wastes,Cyprus,2006,0.0,CYP
T,W05,Health care and biological wastes,Cyprus,2008,0.0,CYP
T,W05,Health care and biological wastes,Cyprus,2010,0.0,CYP
T,W05,Health care and biological wastes,Cyprus,2012,0.0,CYP
T,W05,Health care and biological wastes,Cyprus,2014,0.0,CYP
T,W05,Health care and biological wastes,Cyprus,2016,0.0,CYP
T,W05,Health care and biological wastes,Cyprus,2018,0.0,CYP
T,W05,Health care and biological wastes,Cyprus,2020,0.0,CYP
T,W05,Health care and biological wastes,Cyprus,2022,0.0,CYP
T,W05,Health care and biological wastes,Czechia,2004,5.0,CZE
T,W05,Health care and biological wastes,Czechia,2006,2.0,CZE
T,W05,Health care and biological wastes,Czechia,2008,0.0,CZE
T,W05,Health care and biological wastes,Czechia,2010,0.0,CZE
T,W05,Health care and biological wastes,Czechia,2012,0.0,CZE
T,W05,Health care and biological wastes,Czechia,2014,0.0,CZE
T,W05,Health care and biological wastes,Czechia,2016,0.0,CZE
T,W05,Health care and biological wastes,Czechia,2018,11.0,CZE
T,W05,Health care and biological wastes,Czechia,2020,105.0,CZE
T,W05,Health care and biological wastes,Czechia,2022,19.0,CZE
T,W05,Health care and biological wastes,Germany,2004,0.0,DEU
T,W05,Health care and biological wastes,Germany,2006,0.0,DEU
T,W05,Health care and biological wastes,Germany,2008,0.0,DEU
T,W05,Health care and biological wastes,Germany,2010,0.0,DEU
T,W05,Health care and biological wastes,Germany,2012,0.0,DEU
T,W05,Health care and biological wastes,Germany,2014,0.0,DEU
T,W05,Health care and biological wastes,Germany,2016,0.0,DEU
T,W05,Health care and biological wastes,Germany,2018,0.0,DEU
T,W05,Health care and biological wastes,Germany,2020,0.0,DEU
