unit,NUTS_code,Geopolitical entity (reporting),TIME_PERIOD,Animal and mixed food waste; vegetal wastes (W091+W092),Glass wastes,Health care and biological wastes,"Metal wastes, ferrous","Metal wastes, mixed ferrous and non-ferrous","Metal wastes, non-ferrous","Mixed ordinary wastes (subtotal, W101+W102+W103)",Paper and cardboard wastes,Plastic wastes,Textile + rubber,Wood wastes,"weee + batt, no elv"
T,AUT,Austria,2004,20.388294439366064,4.622839567298912,0.0,,,,40.584860039938114,22.43346840106707,4.739727976934816,1.7167518656614293,3.0181244212182565,2.4959332885153276
T,AUT,Austria,2006,22.275553503546305,4.387966283172487,0.0,,,,37.909805510243686,22.05660431592639,4.352036160075885,1.4955913738960471,3.210356498681365,4.312086354457851
T,AUT,Austria,2008,23.175260271885453,4.505187608092053,0.0,,,,35.51411160151563,22.81490750480995,4.603704346050173,1.7666232812654492,3.520560519933242,4.099644866448066
T,AUT,Austria,2010,,10.360416274404518,0.0005113936173427522,6.537493287958772,0.0,1.649453622410198,,47.2109289465059,10.561858869308711,4.107699495812383,9.168078810405467,10.403559299576706
T,AUT,Austria,2012,,10.392481411043708,0.0004697591380483528,7.97883547179437,0.0,0.2792483196128433,,44.995691134306256,10.756803110557108,3.865084236034237,10.376415648522453,11.354970908990978
T,AUT,Austria,2014,,10.172687987796875,0.0006269954690620282,7.5997896878055196,0.0,0.12018159580199662,,45.519871053903245,11.033328839865804,4.20911015459469,10.488021923344428,10.85638176141837
T,AUT,Austria,2016,,9.846039549009847,0.0003956439600003957,7.996557897547999,0.0,0.10735139448010736,,43.23274085650324,11.135860838831139,5.028107206325029,11.164105421531167,11.48884119181149
T,AUT,Austria,2018,,9.727480086953225,0.0004120224865392254,7.579689269121551,0.0,0.10537475093240689,,40.430406929888605,10.910025825569456,4.780614506817324,11.688933735247534,14.777062872983354
T,AUT,Austria,2020,,10.308598166171535,0.0004160767293040463,8.272615850621321,0.0,0.17118585434223618,,37.14097036226018,11.051651765175805,4.556634581206884,11.609016263844953,16.888911079647787
T,AUT,Austria,2022,,11.018229395335371,0.013619747089847988,6.991748268696544,0.0,0.169631551426851,,37.64606553038069,11.600332797372994,4.578863028518666,10.466097779772653,17.515411901406377
T,BEL,Belgium,2004,34.245347050911604,4.7120586348309725,0.002413807438320036,,,,34.63422867070666,14.55482781602726,1.452997134657313,0.6490843144853925,4.658150268708492,5.0908923022339785
T,BEL,Belgium,2006,27.24840808520632,6.01589441888029,0.0018267436632642916,,,,29.956283497790466,19.455461317391173,3.21721624282165,5.413885214618574,4.110076075128525,4.580948404499736
T,BEL,Belgium,2008,27.624287672525348,5.857078860951069,0.0029532489189958338,,,,32.244300421355746,19.287553628315596,2.9426153051933457,3.996263564809239,4.522996604147282,3.5219506937833724
T,BEL,Belgium,2010,,12.46094354915223,0.0018862155555819625,0.0,5.918152202882855,0.0,,44.69023719349233,6.75597142836125,9.442357346932193,9.303267811863579,11.42718425175998
T,BEL,Belgium,2012,,12.571278716966752,0.0023071434737544166,0.0,5.425997700162481,0.0,,44.82352947962187,6.495993164702934,9.600023994292126,9.561763865019032,11.519105935761049
T,BEL,Belgium,2014,,13.350651105484609,0.0027914490229827282,0.0,5.459042666489201,0.0,,42.77665029758263,7.157760764323015,9.685964007703591,10.067704775542213,11.49943493385176
T,BEL,Belgium,2016,,13.763381994884197,0.002585397102631647,0.0,5.5821801299510865,0.0,,39.35860812069126,6.614369144639835,10.135372213054778,13.209491444182303,11.334011555493907
T,BEL,Belgium,2018,,14.18584304757959,0.0022642871803817124,0.0,5.651409214768267,0.0,,38.65264010643827,5.904191719711437,10.924053501751573,13.751896602583843,10.92770151998663
T,BEL,Belgium,2020,,14.432426190535475,0.0026271073959542937,0.8717095234799684,5.690608698823115,0.33172132193691534,,34.87743857813106,9.06816696718292,10.55661935978177,13.97083950001049,10.19784275272234
T,BEL,Belgium,2022,,14.058236312313484,0.0122519039659614,0.6308123735392617,5.053910385959077,0.3960578595160538,,32.764342862101,11.008878010804974,9.703628451572241,12.286008446181404,14.085873394046539
