unit,waste,Waste categories,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE,NUTS_code
T,W01-05,Chemical and medical wastes (subtotal),Austria,2004,8159.0,AUT
T,W01-05,Chemical and medical wastes (subtotal),Austria,2006,8054.0,AUT
T,W01-05,Chemical and medical wastes (subtotal),Austria,2008,7734.0,AUT
T,W01-05,Chemical and medical wastes (subtotal),Belgium,2004,15814.0,BEL
T,W01-05,Chemical and medical wastes (subtotal),Belgium,2006,11533.0,BEL
T,W01-05,Chemical and medical wastes (subtotal),Belgium,2008,17674.0,BEL
T,W01-05,Chemical and medical wastes (subtotal),Bulgaria,2004,0.0,BGR
T,W01-05,Chemical and medical wastes (subtotal),Bulgaria,2006,0.0,BGR
T,W01-05,Chemical and medical wastes (subtotal),Bulgaria,2008,0.0,BGR
T,W01-05,Chemical and medical wastes (subtotal),Cyprus,2004,0.0,CYP
T,W01-05,Chemical and medical wastes (subtotal),Cyprus,2006,1260.0,CYP
T,W01-05,Chemical and medical wastes (subtotal),Cyprus,2008,1616.0,CYP
T,W01-05,Chemical and medical wastes (subtotal),Czechia,2004,3457.0,CZE
T,W01-05,Chemical and medical wastes (subtotal),Czechia,2006,4635.0,CZE
T,W01-05,Chemical and medical wastes (subtotal),Czechia,2008,3304.0,CZE
T,W01-05,Chemical and medical wastes (subtotal),Germany,2004,38785.0,DEU
T,W01-05,Chemical and medical wastes (subtotal),Germany,2006,18169.0,DEU
T,W01-05,Chemical and medical wastes (subtotal),Germany,2008,21300.0,DEU
T,W01-05,Chemical and medical wastes (subtotal),Denmark,2004,111.0,DNK
T,W01-05,Chemical and medical wastes (subtotal),Denmark,2006,17.0,DNK
T,W01-05,Chemical and medical wastes (subtotal),Denmark,2008,240.0,DNK
T,W01-05,Chemical and medical wastes (subtotal),Estonia,2004,523.0,EST
T,W01-05,Chemical and medical wastes (subtotal),Estonia,2006,520.0,EST
T,W01-05,Chemical and medical wastes (subtotal),Estonia,2008,746.0,EST
T,W01-05,Chemical and medical wastes (subtotal),Greece,2004,0.0,GRC
T,W01-05,Chemical and medical wastes (subtotal),Greece,2006,0.0,GRC
T,W01-05,Chemical and medical wastes (subtotal),Greece,2008,0.0,GRC
T,W01-05,Chemical and medical wastes (subtotal),Spain,2004,43093.0,ESP
T,W01-05,Chemical and medical wastes (subtotal),Spain,2006,46744.0,ESP
T,W01-05,Chemical and medical wastes (subtotal),Spain,2008,2895.0,ESP
T,W01-05,Chemical and medical wastes (subtotal),European Union - 27 countries (from 2020),2004,230000.0,EU27_2020
T,W01-05,Chemical and medical wastes (subtotal),European Union - 27 countries (from 2020),2006,280000.0,EU27_2020
T,W01-05,Chemical and medical wastes (subtotal),European Union - 27 countries (from 2020),2008,170000.0,EU27_2020
T,W01-05,Chemical and medical wastes (subtotal),European Union - 28 countries (2013-2020),2004,240000.0,
T,W01-05,Chemical and medical wastes (subtotal),European Union - 28 countries (2013-2020),2006,290000.0,
T,W01-05,Chemical and medical wastes (subtotal),European Union - 28 countries (2013-2020),2008,210000.0,
T,W01-05,Chemical and medical wastes (subtotal),Finland,2004,1805.0,FIN
T,W01-05,Chemical and medical wastes (subtotal),Finland,2006,1184.0,FIN
T,W01-05,Chemical and medical wastes (subtotal),Finland,2008,354.0,FIN
T,W01-05,Chemical and medical wastes (subtotal),France,2004,38200.0,FRA
T,W01-05,Chemical and medical wastes (subtotal),France,2006,31700.0,FRA
T,W01-05,Chemical and medical wastes (subtotal),France,2008,54060.0,FRA
T,W01-05,Chemical and medical wastes (subtotal),Croatia,2004,0.0,HRV
T,W01-05,Chemical and medical wastes (subtotal),Croatia,2006,89556.0,HRV
T,W01-05,Chemical and medical wastes (subtotal),Croatia,2008,0.0,HRV
T,W01-05,Chemical and medical wastes (subtotal),Hungary,2004,0.0,HUN
T,W01-05,Chemical and medical wastes (subtotal),Hungary,2006,0.0,HUN
T,W01-05,Chemical and medical wastes (subtotal),Hungary,2008,0.0,HUN
T,W01-05,Chemical and medical wastes (subtotal),Ireland,2004,149.0,IRL
T,W01-05,Chemical and medical wastes (subtotal),Ireland,2006,0.0,IRL
T,W01-05,Chemical and medical wastes (subtotal),Iceland,2004,0.0,ISL
T,W01-05,Chemical and medical wastes (subtotal),Italy,2004,12696.0,ITA
T,W01-05,Chemical and medical wastes (subtotal),Italy,2006,9631.0,ITA
T,W01-05,Chemical and medical wastes (subtotal),Italy,2008,11769.0,ITA
T,W01-05,Chemical and medical wastes (subtotal),Liechtenstein,2008,0.0,
T,W01-05,Chemical and medical wastes (subtotal),Lithuania,2004,91.0,LTU
T,W01-05,Chemical and medical wastes (subtotal),Lithuania,2006,109.0,LTU
T,W01-05,Chemical and medical wastes (subtotal),Lithuania,2008,292.0,LTU
T,W01-05,Chemical and medical wastes (subtotal),Luxembourg,2004,1062.0,LUX
T,W01-05,Chemical and medical wastes (subtotal),Luxembourg,2006,245.0,LUX
T,W01-05,Chemical and medical wastes (subtotal),Luxembourg,2008,113.0,LUX
T,W01-05,Chemical and medical wastes (subtotal),Latvia,2004,0.0,LVA
T,W01-05,Chemical and medical wastes (subtotal),Latvia,2006,12121.0,LVA
T,W01-05,Chemical and medical wastes (subtotal),Latvia,2008,12940.0,LVA
T,W01-05,Chemical and medical wastes (subtotal),North Macedonia,2008,0.0,
T,W01-05,Chemical and medical wastes (subtotal),Malta,2004,0.0,MLT
T,W01-05,Chemical and medical wastes (subtotal),Malta,2006,0.0,MLT
T,W01-05,Chemical and medical wastes (subtotal),Malta,2008,0.0,MLT
T,W01-05,Chemical and medical wastes (subtotal),Netherlands,2004,25020.0,NLD
T,W01-05,Chemical and medical wastes (subtotal),Netherlands,2006,18126.0,NLD
T,W01-05,Chemical and medical wastes (subtotal),Netherlands,2008,18212.0,NLD
T,W01-05,Chemical and medical wastes (subtotal),Norway,2004,5922.0,NOR
T,W01-05,Chemical and medical wastes (subtotal),Norway,2006,6712.0,NOR
T,W01-05,Chemical and medical wastes (subtotal),Norway,2008,9837.0,NOR
T,W01-05,Chemical and medical wastes (subtotal),Poland,2004,0.0,POL
T,W01-05,Chemical and medical wastes (subtotal),Poland,2006,0.0,POL
T,W01-05,Chemical and medical wastes (subtotal),Poland,2008,0.0,POL
T,W01-05,Chemical and medical wastes (subtotal),Portugal,2004,13089.0,PRT
T,W01-05,Chemical and medical wastes (subtotal),Portugal,2006,0.0,PRT
T,W01-05,Chemical and medical wastes (subtotal),Portugal,2008,0.0,PRT
T,W01-05,Chemical and medical wastes (subtotal),Romania,2004,0.0,ROU
T,W01-05,Chemical and medical wastes (subtotal),Romania,2006,0.0,ROU
T,W01-05,Chemical and medical wastes (subtotal),Romania,2008,0.0,ROU
T,W01-05,Chemical and medical wastes (subtotal),Sweden,2004,22391.0,SWE
T,W01-05,Chemical and medical wastes (subtotal),Sweden,2006,19578.0,SWE
T,W01-05,Chemical and medical wastes (subtotal),Sweden,2008,17878.0,SWE
T,W01-05,Chemical and medical wastes (subtotal),Slovenia,2004,3640.0,SVN
T,W01-05,Chemical and medical wastes (subtotal),Slovenia,2006,7213.0,SVN
T,W01-05,Chemical and medical wastes (subtotal),Slovenia,2008,494.0,SVN
T,W01-05,Chemical and medical wastes (subtotal),Slovakia,2004,0.0,SVK
T,W01-05,Chemical and medical wastes (subtotal),Slovakia,2006,110.0,SVK
T,W01-05,Chemical and medical wastes (subtotal),Slovakia,2008,245.0,SVK
T,W01-05,Chemical and medical wastes (subtotal),Türkiye,2004,0.0,
T,W01-05,Chemical and medical wastes (subtotal),Türkiye,2006,0.0,
T,W01-05,Chemical and medical wastes (subtotal),Türkiye,2008,210845.0,
T,W01-05,Chemical and medical wastes (subtotal),United Kingdom,2004,8047.0,GBR
T,W01-05,Chemical and medical wastes (subtotal),United Kingdom,2006,8376.0,GBR
T,W01-05,Chemical and medical wastes (subtotal),United Kingdom,2008,37936.0,GBR
T,W06,Metallic wastes (W061+W062+W063),Austria,2004,131200.0,AUT
T,W06,Metallic wastes (W061+W062+W063),Austria,2006,116900.0,AUT
T,W06,Metallic wastes (W061+W062+W063),Austria,2008,111017.0,AUT
T,W06,Metallic wastes (W061+W062+W063),Belgium,2004,160152.0,BEL
T,W06,Metallic wastes (W061+W062+W063),Belgium,2006,78997.0,BEL
T,W06,Metallic wastes (W061+W062+W063),Belgium,2008,99109.0,BEL
T,W06,Metallic wastes (W061+W062+W063),Bulgaria,2004,0.0,BGR
T,W06,Metallic wastes (W061+W062+W063),Bulgaria,2006,0.0,BGR
T,W06,Metallic wastes (W061+W062+W063),Bulgaria,2008,0.0,BGR
T,W06,Metallic wastes (W061+W062+W063),Cyprus,2004,8449.0,CYP
T,W06,Metallic wastes (W061+W062+W063),Cyprus,2006,8008.0,CYP
T,W06,Metallic wastes (W061+W062+W063),Cyprus,2008,16702.0,CYP
T,W06,Metallic wastes (W061+W062+W063),Czechia,2004,49113.0,CZE
T,W06,Metallic wastes (W061+W062+W063),Czechia,2006,96112.0,CZE
T,W06,Metallic wastes (W061+W062+W063),Czechia,2008,76171.0,CZE
T,W06,Metallic wastes (W061+W062+W063),Germany,2004,445144.0,DEU
T,W06,Metallic wastes (W061+W062+W063),Germany,2006,237095.0,DEU
T,W06,Metallic wastes (W061+W062+W063),Germany,2008,282057.0,DEU
T,W06,Metallic wastes (W061+W062+W063),Denmark,2004,12603.0,DNK
T,W06,Metallic wastes (W061+W062+W063),Denmark,2006,18127.0,DNK
T,W06,Metallic wastes (W061+W062+W063),Denmark,2008,379333.0,DNK
T,W06,Metallic wastes (W061+W062+W063),Estonia,2004,169264.0,EST
T,W06,Metallic wastes (W061+W062+W063),Estonia,2006,183011.0,EST
T,W06,Metallic wastes (W061+W062+W063),Estonia,2008,175994.0,EST
T,W06,Metallic wastes (W061+W062+W063),Greece,2004,0.0,GRC
T,W06,Metallic wastes (W061+W062+W063),Greece,2006,8670.0,GRC
T,W06,Metallic wastes (W061+W062+W063),Greece,2008,0.0,GRC
T,W06,Metallic wastes (W061+W062+W063),Spain,2004,130327.0,ESP
T,W06,Metallic wastes (W061+W062+W063),Spain,2006,43364.0,ESP
T,W06,Metallic wastes (W061+W062+W063),Spain,2008,52901.0,ESP
T,W06,Metallic wastes (W061+W062+W063),European Union - 27 countries (from 2020),2004,2530000.0,EU27_2020
T,W06,Metallic wastes (W061+W062+W063),European Union - 27 countries (from 2020),2006,2570000.0,EU27_2020
T,W06,Metallic wastes (W061+W062+W063),European Union - 27 countries (from 2020),2008,3080000.0,EU27_2020
T,W06,Metallic wastes (W061+W062+W063),European Union - 28 countries (2013-2020),2004,2740000.0,
T,W06,Metallic wastes (W061+W062+W063),European Union - 28 countries (2013-2020),2006,3320000.0,
T,W06,Metallic wastes (W061+W062+W063),European Union - 28 countries (2013-2020),2008,3540000.0,
T,W06,Metallic wastes (W061+W062+W063),Finland,2004,14660.0,FIN
T,W06,Metallic wastes (W061+W062+W063),Finland,2006,15002.0,FIN
T,W06,Metallic wastes (W061+W062+W063),Finland,2008,30600.0,FIN
T,W06,Metallic wastes (W061+W062+W063),France,2004,529000.0,FRA
T,W06,Metallic wastes (W061+W062+W063),France,2006,556000.0,FRA
T,W06,Metallic wastes (W061+W062+W063),France,2008,624750.0,FRA
T,W06,Metallic wastes (W061+W062+W063),Croatia,2004,0.0,HRV
T,W06,Metallic wastes (W061+W062+W063),Croatia,2006,3.0,HRV
T,W06,Metallic wastes (W061+W062+W063),Croatia,2008,0.0,HRV
T,W06,Metallic wastes (W061+W062+W063),Hungary,2004,32690.0,HUN
T,W06,Metallic wastes (W061+W062+W063),Hungary,2006,2531.0,HUN
