unit,Geopolitical entity (reporting),TIME_PERIOD,category code,OBS_VALUE,Aggregated category name,NUTS_code
T,Albania,2010,W01-05,0.0,chemical and medical,
T,Albania,2010,W06,0.0,metal,
T,Albania,2010,W072,0.0,paper,
T,Albania,2010,W074,0.0,plastic,
T,Albania,2010,W077_08,0.0,weee + batt + vehicles,
T,Albania,2010,W09,0.0,organic waste,
T,Albania,2010,W10,0.0,mixed waste,
T,Albania,2010,W11,0.0,common sludges,
T,Albania,2012,W01-05,0.0,chemical and medical,
T,Albania,2012,W06,0.0,metal,
T,Albania,2012,W072,0.0,paper,
T,Albania,2012,W074,0.0,plastic,
T,Albania,2012,W077_08,0.0,weee + batt + vehicles,
T,Albania,2012,W09,0.0,organic waste,
T,Albania,2012,W10,0.0,mixed waste,
T,Albania,2012,W11,0.0,common sludges,
T,Albania,2014,W01-05,0.0,chemical and medical,
T,Albania,2014,W06,0.0,metal,
T,Albania,2014,W072,0.0,paper,
T,Albania,2014,W074,0.0,plastic,
T,Albania,2014,W077_08,0.0,weee + batt + vehicles,
T,Albania,2014,W09,0.0,organic waste,
T,Albania,2014,W10,2457768.0,mixed waste,
T,Albania,2014,W11,0.0,common sludges,
T,Albania,2016,W01-05,0.0,chemical and medical,
T,Albania,2016,W06,0.0,metal,
T,Albania,2016,W072,0.0,paper,
T,Albania,2016,W074,0.0,plastic,
T,Albania,2016,W077_08,0.0,weee + batt + vehicles,
T,Albania,2016,W09,0.0,organic waste,
T,Albania,2016,W10,0.0,mixed waste,
T,Albania,2016,W11,0.0,common sludges,
T,Albania,2018,W01-05,0.0,chemical and medical,
T,Albania,2018,W06,0.0,metal,
T,Albania,2018,W072,0.0,paper,
T,Albania,2018,W074,0.0,plastic,
T,Albania,2018,W077_08,0.0,weee + batt + vehicles,
T,Albania,2018,W09,0.0,organic waste,
T,Albania,2018,W10,0.0,mixed waste,
T,Albania,2018,W11,0.0,common sludges,
T,Albania,2020,W01-05,0.0,chemical and medical,
T,Albania,2020,W06,0.0,metal,
T,Albania,2020,W072,0.0,paper,
T,Albania,2020,W074,0.0,plastic,
T,Albania,2020,W077_08,0.0,weee + batt + vehicles,
T,Albania,2020,W09,0.0,organic waste,
T,Albania,2020,W10,0.0,mixed waste,
T,Albania,2020,W11,0.0,common sludges,
T,Albania,2022,W01-05,0.0,chemical and medical,
T,Albania,2022,W06,0.0,metal,
T,Albania,2022,W072,0.0,paper,
T,Albania,2022,W074,0.0,plastic,
T,Albania,2022,W077_08,0.0,weee + batt + vehicles,
T,Albania,2022,W09,0.0,organic waste,
T,Albania,2022,W10,0.0,mixed waste,
T,Albania,2022,W11,0.0,common sludges,
T,Austria,2004,W01-05,16318.0,chemical and medical,AUT
T,Austria,2004,W071,371604.0,glass,AUT
T,Austria,2004,W072,1202200.0,paper,AUT
T,Austria,2004,W074,254000.0,plastic,AUT
T,Austria,2004,W075,242610.0,wood,AUT
T,Austria,2004,W077_08,131956.0,weee + batt + vehicles,AUT
T,Austria,2004,W09,0.0,organic waste,AUT
T,Austria,2004,W10,3262388.0,mixed waste,AUT
T,Austria,2004,W11,0.0,common sludges,AUT
T,Austria,2004,W12-13,0.0,mineral waste,AUT
T,Austria,2006,W01-05,16108.0,chemical and medical,AUT
T,Austria,2006,W071,390800.0,glass,AUT
T,Austria,2006,W072,1309600.0,paper,AUT
T,Austria,2006,W074,258400.0,plastic,AUT
T,Austria,2006,W075,285920.0,wood,AUT
T,Austria,2006,W077_08,185716.0,weee + batt + vehicles,AUT
T,Austria,2006,W09,0.0,organic waste,AUT
T,Austria,2006,W10,3376314.0,mixed waste,AUT
T,Austria,2006,W11,0.0,common sludges,AUT
T,Austria,2006,W12-13,0.0,mineral waste,AUT
T,Austria,2008,W01-05,15468.0,chemical and medical,AUT
T,Austria,2008,W071,416922.0,glass,AUT
T,Austria,2008,W072,1407568.0,paper,AUT
T,Austria,2008,W074,284026.0,plastic,AUT
T,Austria,2008,W075,325802.0,wood,AUT
T,Austria,2008,W077_08,192432.0,weee + batt + vehicles,AUT
T,Austria,2008,W09,0.0,organic waste,AUT
T,Austria,2008,W10,3286570.0,mixed waste,AUT
T,Austria,2008,W11,0.0,common sludges,AUT
T,Austria,2008,W12-13,0.0,mineral waste,AUT
T,Austria,2010,W01-05,16230.0,chemical and medical,AUT
T,Austria,2010,W06,234800.0,metal,AUT
T,Austria,2010,W071,445702.0,glass,AUT
T,Austria,2010,W072,1354000.0,paper,AUT
T,Austria,2010,W074,302912.0,plastic,AUT
T,Austria,2010,W075,394408.0,wood,AUT
T,Austria,2010,W077_08,177970.0,weee + batt + vehicles,AUT
T,Austria,2010,W09,928240.0,organic waste,AUT
T,Austria,2010,W10,3039156.0,mixed waste,AUT
T,Austria,2010,W11,880.0,common sludges,AUT
T,Austria,2010,W12-13,2265242.0,mineral waste,AUT
T,Austria,2012,W01-05,28320.0,chemical and medical,AUT
T,Austria,2012,W06,234392.0,metal,AUT
T,Austria,2012,W071,442460.0,glass,AUT
T,Austria,2012,W072,1277128.0,paper,AUT
T,Austria,2012,W074,305314.0,plastic,AUT
T,Austria,2012,W075,441776.0,wood,AUT
T,Austria,2012,W077_08,161146.0,weee + batt + vehicles,AUT
T,Austria,2012,W09,1756462.0,organic waste,AUT
T,Austria,2012,W10,3334534.0,mixed waste,AUT
T,Austria,2012,W11,0.0,common sludges,AUT
T,Austria,2012,W12-13,0.0,mineral waste,AUT
T,Austria,2014,W01-05,28822.0,chemical and medical,AUT
T,Austria,2014,W06,229836.0,metal,AUT
T,Austria,2014,W071,454286.0,glass,AUT
T,Austria,2014,W072,1355200.0,paper,AUT
T,Austria,2014,W074,328480.0,plastic,AUT
T,Austria,2014,W075,468368.0,wood,AUT
T,Austria,2014,W077_08,161606.0,weee + batt + vehicles,AUT
T,Austria,2014,W09,1872720.0,organic waste,AUT
T,Austria,2014,W10,3374332.0,mixed waste,AUT
T,Austria,2014,W11,0.0,common sludges,AUT
T,Austria,2014,W12-13,16.0,mineral waste,AUT
T,Austria,2016,W01-05,29434.0,chemical and medical,AUT
T,Austria,2016,W06,245794.0,metal,AUT
T,Austria,2016,W071,447950.0,glass,AUT
T,Austria,2016,W072,1311262.0,paper,AUT
T,Austria,2016,W074,337754.0,plastic,AUT
T,Austria,2016,W075,507916.0,wood,AUT
T,Austria,2016,W077_08,174230.0,weee + batt + vehicles,AUT
T,Austria,2016,W09,2036226.0,organic waste,AUT
T,Austria,2016,W10,3366616.0,mixed waste,AUT
T,Austria,2016,W11,0.0,common sludges,AUT
T,Austria,2016,W12-13,0.0,mineral waste,AUT
T,Austria,2018,W01-05,26342.0,chemical and medical,AUT
T,Austria,2018,W06,248694.0,metal,AUT
T,Austria,2018,W071,472182.0,glass,AUT
T,Austria,2018,W072,1308356.0,paper,AUT
T,Austria,2018,W074,353056.0,plastic,AUT
T,Austria,2018,W075,567393.0,wood,AUT
T,Austria,2018,W077_08,239098.0,weee + batt + vehicles,AUT
T,Austria,2018,W09,2077708.0,organic waste,AUT
T,Austria,2018,W10,3444207.0,mixed waste,AUT
T,Austria,2018,W11,0.0,common sludges,AUT
T,Austria,2018,W12-13,2.0,mineral waste,AUT
T,Austria,2020,W01-05,29184.0,chemical and medical,AUT
T,Austria,2020,W06,284114.0,metal,AUT
T,Austria,2020,W071,520290.0,glass,AUT
T,Austria,2020,W072,1249706.0,paper,AUT
T,Austria,2020,W074,371862.0,plastic,AUT
T,Austria,2020,W075,585924.0,wood,AUT
T,Austria,2020,W077_08,284136.0,weee + batt + vehicles,AUT
T,Austria,2020,W09,2285094.0,organic waste,AUT
T,Austria,2020,W10,3573628.0,mixed waste,AUT
T,Austria,2020,W11,0.0,common sludges,AUT
T,Austria,2020,W12-13,4.0,mineral waste,AUT
T,Austria,2022,W01-05,28319.0,chemical and medical,AUT
T,Austria,2022,W06,228902.0,metal,AUT
T,Austria,2022,W071,528270.0,glass,AUT
T,Austria,2022,W072,1203296.0,paper,AUT
T,Austria,2022,W074,370786.0,plastic,AUT
T,Austria,2022,W075,501798.0,wood,AUT
T,Austria,2022,W077_08,279926.0,weee + batt + vehicles,AUT
T,Austria,2022,W09,2204242.0,organic waste,AUT
T,Austria,2022,W10,3494624.0,mixed waste,AUT
T,Austria,2022,W11,0.0,common sludges,AUT
T,Austria,2022,W12-13,0.0,mineral waste,AUT
T,Bosnia and Herzegovina,2010,W01-05,0.0,chemical and medical,
T,Bosnia and Herzegovina,2010,W06,0.0,metal,
T,Bosnia and Herzegovina,2010,W072,0.0,paper,
T,Bosnia and Herzegovina,2010,W074,0.0,plastic,
T,Bosnia and Herzegovina,2010,W077_08,0.0,weee + batt + vehicles,
T,Bosnia and Herzegovina,2010,W09,0.0,organic waste,
T,Bosnia and Herzegovina,2010,W10,0.0,mixed waste,
T,Bosnia and Herzegovina,2010,W11,0.0,common sludges,
T,Bosnia and Herzegovina,2012,W01-05,0.0,chemical and medical,
T,Bosnia and Herzegovina,2012,W06,0.0,metal,
T,Bosnia and Herzegovina,2012,W071,0.0,glass,
T,Bosnia and Herzegovina,2012,W072,0.0,paper,
T,Bosnia and Herzegovina,2012,W074,0.0,plastic,
T,Bosnia and Herzegovina,2012,W075,0.0,wood,
T,Bosnia and Herzegovina,2012,W077_08,0.0,weee + batt + vehicles,
T,Bosnia and Herzegovina,2012,W09,0.0,organic waste,
T,Bosnia and Herzegovina,2012,W10,0.0,mixed waste,
T,Bosnia and Herzegovina,2012,W11,0.0,common sludges,
T,Bosnia and Herzegovina,2012,W12-13,0.0,mineral waste,
T,Bosnia and Herzegovina,2014,W01-05,0.0,chemical and medical,
T,Bosnia and Herzegovina,2014,W06,0.0,metal,
T,Bosnia and Herzegovina,2014,W072,0.0,paper,
T,Bosnia and Herzegovina,2014,W074,0.0,plastic,
T,Bosnia and Herzegovina,2014,W077_08,0.0,weee + batt + vehicles,
T,Bosnia and Herzegovina,2014,W09,0.0,organic waste,
T,Bosnia and Herzegovina,2014,W10,0.0,mixed waste,
T,Bosnia and Herzegovina,2014,W11,0.0,common sludges,
T,Bosnia and Herzegovina,2016,W01-05,0.0,chemical and medical,
T,Bosnia and Herzegovina,2016,W06,0.0,metal,
T,Bosnia and Herzegovina,2016,W072,0.0,paper,
T,Bosnia and Herzegovina,2016,W074,0.0,plastic,
T,Bosnia and Herzegovina,2016,W077_08,0.0,weee + batt + vehicles,
T,Bosnia and Herzegovina,2016,W09,0.0,organic waste,
T,Bosnia and Herzegovina,2016,W10,0.0,mixed waste,
T,Bosnia and Herzegovina,2016,W11,0.0,common sludges,
T,Bosnia and Herzegovina,2018,W01-05,0.0,chemical and medical,
T,Bosnia and Herzegovina,2018,W06,1818.0,metal,
T,Bosnia and Herzegovina,2018,W071,9166.0,glass,
T,Bosnia and Herzegovina,2018,W072,42936.0,paper,
T,Bosnia and Herzegovina,2018,W074,14364.0,plastic,
T,Bosnia and Herzegovina,2018,W075,798.0,wood,
T,Bosnia and Herzegovina,2018,W077_08,0.0,weee + batt + vehicles,
T,Bosnia and Herzegovina,2018,W09,52428.0,organic waste,
T,Bosnia and Herzegovina,2018,W10,1690670.0,mixed waste,
T,Bosnia and Herzegovina,2018,W11,4210.0,common sludges,
