,Waste Stream,Country,Year,Scenario,Substance main parent,Stock/Flow ID,Value,Unit,Data Quality,Reference,Remark 1,Remark 2,Remark 3
0,SLASH,AUT,2010,OBS,19 01 11,SLASH_bottomAshesWasteInc,458080.00000000006,t,2,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
1,SLASH,AUT,2011,OBS,19 01 11,SLASH_bottomAshesWasteInc,469840.00000000006,t,2,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
2,SLASH,AUT,2012,OBS,19 01 11,SLASH_bottomAshesWasteInc,474040.0,t,2,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
3,SLASH,AUT,2013,OBS,19 01 11,SLASH_bottomAshesWasteInc,480480.0,t,2,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
4,SLASH,AUT,2014,OBS,19 01 11,SLASH_bottomAshesWasteInc,491680.00000000006,t,2,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
5,SLASH,AUT,2015,OBS,19 01 11,SLASH_bottomAshesWasteInc,513240.0,t,2,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
6,SLASH,AUT,2016,OBS,19 01 11,SLASH_bottomAshesWasteInc,519400.0000000001,t,2,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
7,SLASH,AUT,2017,OBS,19 01 11,SLASH_bottomAshesWasteInc,544320.0,t,2,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
8,SLASH,AUT,2018,OBS,19 01 11,SLASH_bottomAshesWasteInc,553560.0000000001,t,2,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
9,SLASH,AUT,2019,OBS,19 01 11,SLASH_bottomAshesWasteInc,561120.0,t,2,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
10,SLASH,AUT,2020,OBS,19 01 11,SLASH_bottomAshesWasteInc,747320.0,t,2,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
11,SLASH,AUT,2021,OBS,19 01 11,SLASH_bottomAshesWasteInc,743120.0000000001,t,2,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
12,SLASH,BEL,2010,OBS,19 01 11,SLASH_bottomAshesWasteInc,543200.0,t,2,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
13,SLASH,BEL,2011,OBS,19 01 11,SLASH_bottomAshesWasteInc,561120.0,t,2,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
14,SLASH,BEL,2012,OBS,19 01 11,SLASH_bottomAshesWasteInc,573160.0000000001,t,2,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
15,SLASH,BEL,2013,OBS,19 01 11,SLASH_bottomAshesWasteInc,596680.0000000001,t,2,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
16,SLASH,BEL,2014,OBS,19 01 11,SLASH_bottomAshesWasteInc,581840.0,t,2,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
17,SLASH,BEL,2015,OBS,19 01 11,SLASH_bottomAshesWasteInc,574000.0,t,2,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
18,SLASH,BEL,2016,OBS,19 01 11,SLASH_bottomAshesWasteInc,591640.0000000001,t,2,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
19,SLASH,BEL,2017,OBS,19 01 11,SLASH_bottomAshesWasteInc,560560.0000000001,t,2,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
20,SLASH,BEL,2018,OBS,19 01 11,SLASH_bottomAshesWasteInc,566160.0000000001,t,2,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
21,SLASH,BEL,2019,OBS,19 01 11,SLASH_bottomAshesWasteInc,573160.0000000001,t,2,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
22,SLASH,BEL,2020,OBS,19 01 11,SLASH_bottomAshesWasteInc,1151360.0000000002,t,2,,Estimated from Eurostat MSW incineration quantities,,Sowmya Ravisandiran
